,sentence,subject,object,hinnang
0,"Mind ei ***** eriti ***** saada järgmiseks , ma ei tea ...",väljavaade,võlu,no
1,"Mind ei ***** eriti ***** saada järgmiseks , ma ei tea ...",võlu,väljavaade,no
2,Sedavõrd tugevasti on ***** ***** presidendiametis rahvale “ mällu sööbinud ” .,tema,ise,no
3,Sedavõrd tugevasti on ***** ***** presidendiametis rahvale “ mällu sööbinud ” .,ise,tema,no
4,"***** saab ***** Tulbi spordiklubist , nii et need asjad minusse ei puutu , ” lausub Valdes ja palub järgmisel päeval uuesti helistada .",tema,palk,yes
5,"***** saab ***** Tulbi spordiklubist , nii et need asjad minusse ei puutu , ” lausub Valdes ja palub järgmisel päeval uuesti helistada .",palk,tema,no
6,***** peame ***** .,mina,aru,yes
7,***** peame ***** .,aru,mina,no
8,"***** ei usalda ***** kosmeetikute kätte , ei ole tihe salongide külastaja .",mina,ise,yes
9,"***** ei usalda ***** kosmeetikute kätte , ei ole tihe salongide külastaja .",ise,mina,no
10,Eesti kohta nii ***** ***** esile tuua ei saa .,arve,hull,no
11,Eesti kohta nii ***** ***** esile tuua ei saa .,hull,arve,no
12,"Kui Kroonika neid Eesti Kunstimuuseumis hilisõhtul pildistas , lasid ***** hea kõlaga ruumides ***** lahti .",tüdruk,laul,yes
13,"Kui Kroonika neid Eesti Kunstimuuseumis hilisõhtul pildistas , lasid ***** hea kõlaga ruumides ***** lahti .",laul,tüdruk,no
14,***** küpsetan ***** ka .,mina,pirukas,yes
15,***** küpsetan ***** ka .,pirukas,mina,no
16,"“ ***** polnud kunagi varem kuulnud nii labaseid ***** , nagu kuulsin nende naistega ühes toas töötades !",mina,jutt,yes
17,"“ ***** polnud kunagi varem kuulnud nii labaseid ***** , nagu kuulsin nende naistega ühes toas töötades !",jutt,mina,no
18,***** nendib ametlik ***** .,statistika,see,yes
19,***** nendib ametlik ***** .,see,statistika,no
20,***** kõik teame väga hästi tema ***** okupatsiooniajal .,mina,tegevus,yes
21,***** kõik teame väga hästi tema ***** okupatsiooniajal .,tegevus,mina,no
22,Modelliagentuuri ***** juhivad ***** ja Raul kahepeale .,mass,Oleg,no
23,Modelliagentuuri ***** juhivad ***** ja Raul kahepeale .,Oleg,mass,yes
24,Just ***** emaga toob hilisemas elus kaasa vaimselt tasakaalustatud ***** .,lähedus,kodanik,yes
25,Just ***** emaga toob hilisemas elus kaasa vaimselt tasakaalustatud ***** .,kodanik,lähedus,no
26,"***** on laenanud välisturgudelt 800 miljonit ***** , Tallinna Pank 400 miljonit , Ühispank 400 miljonit , Hoiupank 560 miljonit ",,,
27,"***** on laenanud välisturgudelt 800 miljonit ***** , Tallinna Pank 400 miljonit , Ühispank 400 miljonit , Hoiupank 560 miljonit ",,,
28,"***** kannan aeg-ajalt vanaema kingitud ***** ning abikaasalt saadud ketti , ” ütleb Ute , kes hindab traditsioonidega seotud esemeid .",mina,pärl,yes
29,"***** kannan aeg-ajalt vanaema kingitud ***** ning abikaasalt saadud ketti , ” ütleb Ute , kes hindab traditsioonidega seotud esemeid .",pärl,mina,no
30,"Kuid põhimõtteliselt peaks Palestiina ***** saama endale nüüd suure osa ***** , Iisraelile jäävad juutide asundused linnades ning Iisraeli sõjaväebaasid .",omavalitsus,soovitus,yes
31,"Kuid põhimõtteliselt peaks Palestiina ***** saama endale nüüd suure osa ***** , Iisraelile jäävad juutide asundused linnades ning Iisraeli sõjaväebaasid .",soovitus,omavalitsus,no
32,Vähemalt nii on väitnud ***** lõpetanud Nõmme põhikooli ***** Karli Klaas .,direktor,leping,no
33,Vähemalt nii on väitnud ***** lõpetanud Nõmme põhikooli ***** Karli Klaas .,leping,direktor,no
34,"Kuigi arstid ja massöörid saavad need enamasti kiiresti kontrolli alla , võivad ***** mõnikord ***** mitmeks kuuks rajalt maha võtta .",see,tantsija,yes
35,"Kuigi arstid ja massöörid saavad need enamasti kiiresti kontrolli alla , võivad ***** mõnikord ***** mitmeks kuuks rajalt maha võtta .",tantsija,see,yes
36,EBRD hinnangul annab ***** praegu umbes 70 ***** meie sisemajanduse kogutoodangust .,erasektor,protsent,yes
37,EBRD hinnangul annab ***** praegu umbes 70 ***** meie sisemajanduse kogutoodangust .,protsent,erasektor,no
38,"Et rikkad ***** teevad sel ajal , kui nende mehed raha teenivad , ka ***** .",tädi,miski,yes
39,"Et rikkad ***** teevad sel ajal , kui nende mehed raha teenivad , ka ***** .",miski,tädi,no
40,Ülejäänud ***** kogu talu sissetulekust andsid mitmed väiksemad ***** .,ettevõtmine,pool,no
41,Ülejäänud ***** kogu talu sissetulekust andsid mitmed väiksemad ***** .,pool,ettevõtmine,yes
42,"Kui kõik läheb plaanitult , avab jõulude ajal Tallinnas Vesse tänaval ( Peterburi maantee lähedal ) ***** suurim SPAR-i ***** , mis vastab EuroSPAR-i standardile .",supermarket,uks,yes
43,"Kui kõik läheb plaanitult , avab jõulude ajal Tallinnas Vesse tänaval ( Peterburi maantee lähedal ) ***** suurim SPAR-i ***** , mis vastab EuroSPAR-i standardile .",uks,supermarket,no
44,Veepiirile ihkavaid ***** ***** ei pidurda .,see,autojuht,yes
45,Veepiirile ihkavaid ***** ***** ei pidurda .,autojuht,see,no
46,"***** kosis teist korda sama ***** - sest olles lahutanud abielu , tundus mõne aja möödudes mõlemale , et tema OLIGI see õige !",mees,naine,yes
47,"***** kosis teist korda sama ***** - sest olles lahutanud abielu , tundus mõne aja möödudes mõlemale , et tema OLIGI see õige !",naine,mees,yes
48,***** ja Ines Rannap pooldasid ses suhtes askeetlikku ***** .,Heino,kasvatus,yes
49,***** ja Ines Rannap pooldasid ses suhtes askeetlikku ***** .,kasvatus,Heino,no
50,"Aga mu ***** huvitab ***** nii palju , et mul on lihtsam öelda oma eraelule “ ei ” ja tööle “ jah ” .",töö,mina,yes
51,"Aga mu ***** huvitab ***** nii palju , et mul on lihtsam öelda oma eraelule “ ei ” ja tööle “ jah ” .",mina,töö,no
52,"Tema neli ***** oksendasid ***** läbi , kui ema keetis toiduks koduaia köögivilja .",laps,öö,no
53,"Tema neli ***** oksendasid ***** läbi , kui ema keetis toiduks koduaia köögivilja .",öö,laps,no
54,"Aga ***** ei vallandanud serbia ega bosnia ***** , vaid poliitikud .",sõda,rahvas,no
55,"Aga ***** ei vallandanud serbia ega bosnia ***** , vaid poliitikud .",rahvas,sõda,yes
56,"Ent paljuks ei pea ***** korrashoiu eest rohkem maksta ka paljud ***** , kultuuritegelased ja muu “ maisem ” kontingent .",õpetaja,suu,no
57,"Ent paljuks ei pea ***** korrashoiu eest rohkem maksta ka paljud ***** , kultuuritegelased ja muu “ maisem ” kontingent .",suu,õpetaja,no
58,***** saadab toimetustesse kirjade ***** ja on alati nõus ajakirjanikega suhtlema .,tema,koopia,yes
59,***** saadab toimetustesse kirjade ***** ja on alati nõus ajakirjanikega suhtlema .,koopia,tema,no
60,Kuid miks peab üks ***** justkui Jeesus Kristus lunastama kõik Eesti ***** ja majanduse kasvuraskused ning nendest sündinud eksimused ?,inimene,pangandus,yes
61,Kuid miks peab üks ***** justkui Jeesus Kristus lunastama kõik Eesti ***** ja majanduse kasvuraskused ning nendest sündinud eksimused ?,pangandus,inimene,no
62,"Olegi hästi tundvad ***** kinnitavad aga ***** , et juba siis oli Ljadovite abielu sisuliselt läbi .",inimene,tõsiasi,yes
63,"Olegi hästi tundvad ***** kinnitavad aga ***** , et juba siis oli Ljadovite abielu sisuliselt läbi .",tõsiasi,inimene,no
