,sentence,subject,object,hinnang
0,Kõigele vaatamata kasvatasid ***** siin tänavu ***** üles .,kotkas,poja,yes
1,Kõigele vaatamata kasvatasid ***** siin tänavu ***** üles .,poja,kotkas,yes
2,"Nagu ***** kunagi ***** õpetasid , et enne tuleb tükk aega käia ja sõber olla .",ema,tütar,yes
3,"Nagu ***** kunagi ***** õpetasid , et enne tuleb tükk aega käia ja sõber olla .",tütar,ema,yes
4,Mulle imponeerib lõunapoolsete rahvaste ***** ***** .,suhtumine,aeg,no
5,Mulle imponeerib lõunapoolsete rahvaste ***** ***** .,aeg,suhtumine,no
6,"“ ***** ostsin ***** kinnisvarafirmalt , makstes 3,1 miljonit krooni .",mina,maja,yes
7,"“ ***** ostsin ***** kinnisvarafirmalt , makstes 3,1 miljonit krooni .",maja,mina,no
8,Järvamaal Oisu vallas tappis ***** läbi elektrikarjuse seitse ***** .,välk,lehm,yes
9,Järvamaal Oisu vallas tappis ***** läbi elektrikarjuse seitse ***** .,lehm,välk,no
10,"Tänini uurib ***** Sarv leepra ***** , peab loenguid ning korraldab pidalitõve lugu tutvustavaid näitusi üle Eesti .",proua,ajalugu,yes
11,"Tänini uurib ***** Sarv leepra ***** , peab loenguid ning korraldab pidalitõve lugu tutvustavaid näitusi üle Eesti .",ajalugu,proua,no
12,Nii või teisiti on kandnud minister Heiki Kranichi ***** ***** .,ponnistus,vili,yes
13,Nii või teisiti on kandnud minister Heiki Kranichi ***** ***** .,vili,ponnistus,no
14,Inertses seltskonnas annavad ***** tööealised ***** ( 44% ) ja õppurid ( 26% ) .,pensionär,toon,yes
15,Inertses seltskonnas annavad ***** tööealised ***** ( 44% ) ja õppurid ( 26% ) .,toon,pensionär,no
16,"Venemaalt ***** otsivad Eesti ***** on väljendanud mõistmatust , miks peab Eesti Moskva kesklinnas ülal läbi kvartali ulatuvat suurejoonelist saatkonda , kui arengud kõige rahvalähedasemas küsimuses - turu avamises - on aastaid olnud väga tagasihoidlikud .",tootja,turg,no
17,"Venemaalt ***** otsivad Eesti ***** on väljendanud mõistmatust , miks peab Eesti Moskva kesklinnas ülal läbi kvartali ulatuvat suurejoonelist saatkonda , kui arengud kõige rahvalähedasemas küsimuses - turu avamises - on aastaid olnud väga tagasihoidlikud .",turg,tootja,no
18,Veelgi rammusamad ***** peibutavad ***** aga raamatukaante vahel .,paljastus,ostja,yes
19,Veelgi rammusamad ***** peibutavad ***** aga raamatukaante vahel .,ostja,paljastus,no
20,"Aasta alguses saavutas Eesti majanduslik ***** ***** , mis pani nõutult kukalt sügama nii mõnegi väliseksperdi , kodumaistest asjatundjatest rääkimata .",areng,tase,yes
21,"Aasta alguses saavutas Eesti majanduslik ***** ***** , mis pani nõutult kukalt sügama nii mõnegi väliseksperdi , kodumaistest asjatundjatest rääkimata .",tase,areng,no
22,"***** toob kaasa projekti ***** määramata ajaks , ” kirjutab Peets ühes kahest õiendist .",see,seiskumine,yes
23,"***** toob kaasa projekti ***** määramata ajaks , ” kirjutab Peets ühes kahest õiendist .",seiskumine,see,no
24,"Hilisemad ***** on ***** peaaegu poole võrra vähendanud , sellele vaatamata on viljasalvedes napilt 50 000 tonni riigi teravilja , nagu tunnistab põllumajandusministeeriumis asja kureeriv Elsa Nurk .",kabinet,norm,yes
25,"Hilisemad ***** on ***** peaaegu poole võrra vähendanud , sellele vaatamata on viljasalvedes napilt 50 000 tonni riigi teravilja , nagu tunnistab põllumajandusministeeriumis asja kureeriv Elsa Nurk .",norm,kabinet,no
26,Otseselt või kaudselt tema omanduses ***** teenivad ***** kümneid miljoneid kroone aastas .,firma,kasum,yes
27,Otseselt või kaudselt tema omanduses ***** teenivad ***** kümneid miljoneid kroone aastas .,kasum,firma,no
28,“ Seal ühe poisi juures ***** tarvitasid ***** .,tema,narkootikum,yes
29,“ Seal ühe poisi juures ***** tarvitasid ***** .,narkootikum,tema,no
30,Samal ajal ajas ***** usinalt Carmen Kassi ***** .,tema,jälg,yes
31,Samal ajal ajas ***** usinalt Carmen Kassi ***** .,jälg,tema,no
32,Listjevi ***** shokeeris ***** .,tapmine,ühiskond,yes
33,Listjevi ***** shokeeris ***** .,ühiskond,tapmine,no
34,"Kui kutsekool Kallastel suletakse , tähendab ***** veel ühte tühja ***** keskväljaku ääres .",see,hoone,yes
