,subject,verb,object,hinnang
0,väljavaade,saama,võlu,no
1,võlu,saama,väljavaade,no
2,tema,sööbima,ise,yes
3,ise,sööbima,tema,no
4,tema,saama,palk,yes
5,palk,saama,tema,no
6,mina,pidama,aru,yes
7,aru,pidama,mina,no
8,mina,usaldama,ise,yes
9,ise,usaldama,mina,no
10,arve,tooma,hull,no
11,hull,tooma,arve,yes
12,tüdruk,laskma,laul,yes
13,laul,laskma,tüdruk,no
14,mina,küpsetama,pirukas,yes
15,pirukas,küpsetama,mina,no
16,mina,kuulma,jutt,yes
17,jutt,kuulma,mina,no
18,statistika,nentima,see,yes
19,see,nentima,statistika,no
20,mina,teadma,tegevus,yes
21,tegevus,teadma,mina,no
22,mass,juhtima,Oleg,yes
23,Oleg,juhtima,mass,yes
24,lähedus,tooma,kodanik,yes
25,kodanik,tooma,lähedus,yes
26,Hansapank,laenama,kroon,yes
27,kroon,laenama,Hansapank,no
28,mina,kandma,pärl,yes
29,pärl,kandma,mina,no
30,omavalitsus,saama,soovitus,yes
31,soovitus,saama,omavalitsus,no
32,direktor,lõpetama,leping,yes
33,leping,lõpetama,direktor,no
34,see,võtma,tantsija,yes
35,tantsija,võtma,see,yes
36,erasektor,andma,protsent,yes
37,protsent,andma,erasektor,no
38,tädi,tegema,miski,yes
39,miski,tegema,tädi,yes
40,ettevõtmine,andma,pool,yes
41,pool,andma,ettevõtmine,no
42,supermarket,avama,uks,yes
43,uks,avama,supermarket,no
44,see,pidurdama,autojuht,yes
45,autojuht,pidurdama,see,yes
46,mees,kosima,naine,yes
47,naine,kosima,mees,yes
48,Heino,pooldama,kasvatus,yes
49,kasvatus,pooldama,Heino,no
50,töö,huvitama,mina,yes
51,mina,huvitama,töö,no
52,laps,oksendama,öö,no
53,öö,oksendama,laps,no
54,sõda,vallandama,rahvas,no
55,rahvas,vallandama,sõda,yes
56,õpetaja,maksma,suu,no
57,suu,maksma,õpetaja,no
58,tema,saatma,koopia,yes
59,koopia,saatma,tema,no
60,inimene,lunastama,pangandus,no
61,pangandus,lunastama,inimene,no
62,inimene,kinnitama,tõsiasi,yes
63,tõsiasi,kinnitama,inimene,no
64,vaim,jälitama,mina,yes
65,mina,jälitama,vaim,yes
66,puudumine,häirima,mina,yes
67,mina,häirima,puudumine,no
68,Andrus,mäletama,aeg,yes
69,aeg,mäletama,Andrus,no
70,tema,serveerima,asi,yes
71,asi,serveerima,tema,no
72,mis,tegema,sina,yes
73,sina,tegema,mis,yes
74,aktsent,võluma,naine,yes
75,naine,võluma,aktsent,no
76,see,andma,teadmine,yes
77,teadmine,andma,see,yes
78,mina,panema,kummik,yes
79,kummik,panema,mina,no
80,argentiinlane,viima,raha,yes
81,raha,viima,argentiinlane,yes
82,mees,häbenema,tunne,yes
83,tunne,häbenema,mees,no
84,asendamine,vähendama,maksutulu,yes
85,maksutulu,vähendama,asendamine,no
86,Tanel,pistma,käsi,yes
87,käsi,pistma,Tanel,no
88,linnavalitsus,korraldama,konkurss,yes
89,konkurss,korraldama,linnavalitsus,no
90,see,korraldama,kampaania,yes
91,kampaania,korraldama,see,no
92,tudeng,saatma,meil,yes
93,meil,saatma,tudeng,no
94,asjaolu,segama,suhtlus,yes
95,suhtlus,segama,asjaolu,yes
96,Eduard,meenutama,juhtum,yes
97,juhtum,meenutama,Eduard,no
98,see,inspireerima,mina,yes
99,mina,inspireerima,see,yes
100,reiting,ehmatama,palju,yes
101,palju,ehmatama,reiting,no
102,raha,andma,eelis,yes
103,eelis,andma,raha,yes
104,Anu,õigustama,tiitel,no
105,tiitel,õigustama,Anu,no
106,auhind,tähendama,miski,yes
107,miski,tähendama,auhind,no
108,kompanii,pakkuma,hind,yes
109,hind,pakkuma,kompanii,no
110,vabandus,sulatama,publik,yes
111,publik,sulatama,vabandus,no
112,külaline,pöörama,kontor,yes
113,kontor,pöörama,külaline,no
114,mina,avama,ise,yes
115,ise,avama,mina,yes
116,sõna,võitma,vägi,yes
117,vägi,võitma,sõna,yes
118,pank,saama,kõik,yes
119,kõik,saama,pank,no
120,väljend,iseloomustama,tunne,yes
121,tunne,iseloomustama,väljend,no
122,vabariik,vajama,raha,yes
123,raha,vajama,vabariik,no
124,zhürii,põhjendama,läbikukkumine,yes
125,läbikukkumine,põhjendama,zhürii,no
126,muusik,põimima,teema,yes
127,teema,põimima,muusik,no
128,mis,ajendama,sina,yes
129,sina,ajendama,mis,yes
130,kes,valima,riie,yes
131,riie,valima,kes,no
132,võõrtööline,tähendama,konkurent,yes
133,konkurent,tähendama,võõrtööline,yes
134,sündmus,tooma,lõpp,yes
135,lõpp,tooma,sündmus,yes
136,variant,tekitama,probleem,yes
137,probleem,tekitama,variant,yes
138,tahe,tekitama,seos,yes
139,seos,tekitama,tahe,yes
140,inimene,tegema,reegel,yes
141,reegel,tegema,inimene,yes
142,esindaja,leidma,moodus,yes
143,moodus,leidma,esindaja,no
144,itaallane,usaldama,intuitsioon,yes
145,intuitsioon,usaldama,itaallane,no
146,asi,tooma,rõõm,yes
147,rõõm,tooma,asi,yes
148,sina,mängima,ema,yes
149,ema,mängima,sina,yes
150,tema,kohtama,noormees,yes
151,noormees,kohtama,tema,yes
152,mina,leidma,aeg,yes
153,aeg,leidma,mina,yes
154,bulgaarlane,kõrvaldama,kirjanik,yes
155,kirjanik,kõrvaldama,bulgaarlane,yes
156,tõik,tekitama,mure,yes
157,mure,tekitama,tõik,no
