,sentence,subject,object,hinnang
0,Eesti ***** on ***** sel suvel Eestisse loenguid pidama kutsunud .,valitsus,tema,yes
1,Eesti ***** on ***** sel suvel Eestisse loenguid pidama kutsunud .,tema,valitsus,no
2,Venemaale ei ennusta head ***** ***** .,keegi,aasta,yes
3,Venemaale ei ennusta head ***** ***** .,aasta,keegi,no
4,"See ***** andis ***** majandus- ja õigusvaldkonnas , samuti kohtus esinemise praktika , mis hiljem pensionäride õiguste kaitsmisel kasuks tuli .",töö,kogemus,yes
5,"See ***** andis ***** majandus- ja õigusvaldkonnas , samuti kohtus esinemise praktika , mis hiljem pensionäride õiguste kaitsmisel kasuks tuli .",kogemus,töö,no
6,"Muidugi tekitavad kaks ***** ka ***** , eriti esimestel nädalatel , kui laps ei lase magada ja kui ei saa väljas käia .",laps,pinge,yes
7,"Muidugi tekitavad kaks ***** ka ***** , eriti esimestel nädalatel , kui laps ei lase magada ja kui ei saa väljas käia .",pinge,laps,no
8,"Mikenbergi ***** ja ülesandeid mäletavad mõnedki Inglismaa ***** , kes on varmalt valmis kõigest rääkima .",eestlane,missioon,yes
9,"Mikenbergi ***** ja ülesandeid mäletavad mõnedki Inglismaa ***** , kes on varmalt valmis kõigest rääkima .",missioon,eestlane,no
10,“ Hommikul poole üheksast õhtul ***** üheksani hoian ***** tegevuses .,pool,ise,no
11,“ Hommikul poole üheksast õhtul ***** üheksani hoian ***** tegevuses .,ise,pool,no
12,"***** anname sulle ***** , samas palume politseil uurida selle väljaandmisel aluseks olnud võltsdokumenti .",mina,pass,yes
13,"***** anname sulle ***** , samas palume politseil uurida selle väljaandmisel aluseks olnud võltsdokumenti .",pass,mina,no
14,"Kui nad seda ei suuda , ei taha ***** neid oma ***** .",mina,buss,no
15,"Kui nad seda ei suuda , ei taha ***** neid oma ***** .",buss,mina,no
16,“ ***** sellist ei olnud ***** varem kogenud .,mina,miski,yes
17,“ ***** sellist ei olnud ***** varem kogenud .,miski,mina,no
18,Ometi vajavad ***** kõik kindlasti ka psühholoogilist ***** .,tema,nõustamine,yes
19,Ometi vajavad ***** kõik kindlasti ka psühholoogilist ***** .,nõustamine,tema,no
20,"***** suurlinnaga võttis ***** nõrgaks , kuid ta jäi püsti .",kohtumine,jalg,yes
21,"***** suurlinnaga võttis ***** nõrgaks , kuid ta jäi püsti .",jalg,kohtumine,no
22,"Euroopalik ***** tähendab ***** kahtlusest , et iga kord , kui Eesti välisministeeriumi esindaja kohtub Vene välisministeeriumi kolleegiga , toimub salajane Eesti mahamüümine .",käitumine,loobumine,yes
23,"Euroopalik ***** tähendab ***** kahtlusest , et iga kord , kui Eesti välisministeeriumi esindaja kohtub Vene välisministeeriumi kolleegiga , toimub salajane Eesti mahamüümine .",loobumine,käitumine,no
24,"Auto tehnilistest nõuetest ***** peab tagama tehniline ***** , mis kombineerub areneva kindlustusturuga .",ülevaatus,kinnipidamine,yes
25,"Auto tehnilistest nõuetest ***** peab tagama tehniline ***** , mis kombineerub areneva kindlustusturuga .",kinnipidamine,ülevaatus,no
26,Viimased kohalikud ***** võitnud ***** on läbi ja lõhki realist .,valimine,mahl,no
27,Viimased kohalikud ***** võitnud ***** on läbi ja lõhki realist .,mahl,valimine,no
28,"***** rajasid oma äri ***** juba Jossif Stalini ajal , 1949. aastal sõlmitud “ sõpruse , koostöö ja vastastikuse abistamise leppe ” peale , mille perestroika nurjas .",tema,edu,yes
29,"***** rajasid oma äri ***** juba Jossif Stalini ajal , 1949. aastal sõlmitud “ sõpruse , koostöö ja vastastikuse abistamise leppe ” peale , mille perestroika nurjas .",edu,tema,no
30,“ ***** väljendab ***** tõesti väga radikaalselt ja hoopis karmimalt .,isa,ise,yes
31,“ ***** väljendab ***** tõesti väga radikaalselt ja hoopis karmimalt .,ise,isa,no
32,"***** tõstis jälle üles vene vähemuse ***** Eestis , väites , et siin jätkub massiline ja häbiväärne inimõiguste rikkumine .",tema,olukord,yes
33,"***** tõstis jälle üles vene vähemuse ***** Eestis , väites , et siin jätkub massiline ja häbiväärne inimõiguste rikkumine .",olukord,tema,no
34,Loodetavasti leiab uuendamise käigus järgmises atlases ***** ka Eesti suuruselt 11. linna - Maardu ***** .,kaart,kujutamine,yes
35,Loodetavasti leiab uuendamise käigus järgmises atlases ***** ka Eesti suuruselt 11. linna - Maardu ***** .,kujutamine,kaart,no
36,"***** tõi ***** suve lõpus Haapsalust Tallinna , mul oli Mustamäel kahetoaline korter .",ema,mina,yes
37,"***** tõi ***** suve lõpus Haapsalust Tallinna , mul oli Mustamäel kahetoaline korter .",mina,ema,yes
38,"***** korraldasid korraliku ***** , aga õnneks lahenes intsident õnnelikult .",teenistuja,stseen,yes
39,"***** korraldasid korraliku ***** , aga õnneks lahenes intsident õnnelikult .",stseen,teenistuja,no
40,Ainuüksi Miri varustamiseks tarvisminevate süstikulendude peale ajavahemikul 1995 - 1997 lubas lahke ***** 400 miljonit dollarit ehk peaaegu pool Eesti ***** !,kongress,aastaeelarve,yes
