,adjective,noun,hinnang
0,närviline,klient,yes
1,konfliktne,klient,yes
2,hallipäine,poliitik,yes
3,vana,poliitik,yes
4,suur,prioriteet,yes
5,sügav,prioriteet,no
6,ametlik,põhjus,yes
7,bürokraatlik,põhjus,yes
8,toonane,kaitseminister,yes
9,omaaegne,kaitseminister,yes
10,uus,valgus,yes
11,originaalne,valgus,yes
12,ränk,uudis,yes
13,karm,uudis,yes
14,lahe,atmosfäär,yes
15,kodune,atmosfäär,yes
16,lahe,seltskond,yes
17,mitteametlik,seltskond,yes
18,pikk,ametnik,yes
19,kauge,ametnik,no
20,uus,ime,yes
21,originaalne,ime,yes
22,toimiv,süsteem,yes
23,interaktiivne,süsteem,yes
24,peamine,idee,yes
25,eriline,idee,yes
26,terviklik,toode,yes
27,terve,toode,yes
28,uus,mängufilm,yes
29,originaalne,mängufilm,yes
30,otsene,kulu,yes
31,esmane,kulu,yes
32,ammune,sõprus,yes
33,vana,sõprus,yes
34,suur,puudus,yes
35,sügav,puudus,yes
36,lennukas,mõte,yes
37,kiire,mõte,yes
38,ideoloogiline,pind,yes
39,filosoofiline,pind,yes
40,võimekas,muulane,yes
41,loov,muulane,yes
42,ammune,häda,yes
43,vana,häda,yes
44,riiklik,direktor,yes
45,riigisisene,direktor,yes
46,keskmine,intelligents,yes
47,leplik,intelligents,no
48,uus,kasvaja,yes
49,originaalne,kasvaja,no
50,kunagine,oskus,yes
51,omaaegne,oskus,yes
52,nähtamatu,osapool,yes
53,tihe,osapool,no
54,arvatav,asukoht,yes
55,ootuspärane,asukoht,yes
56,tulev,hinnang,yes
57,järgmine,hinnang,yes
58,kristlik,demokraat,yes
59,liberaalne,demokraat,yes
60,otsene,mõte,yes
61,esmane,mõte,yes
62,pingeline,töö,yes
63,ärev,töö,yes
64,keeruline,armusuhe,yes
65,mõtlemapanev,armusuhe,yes
66,operatiivne,kontroll,yes
67,ettevõtlik,kontroll,yes
68,demokraatlik,kord,yes
69,kodanlik,kord,yes
70,regionaalne,probleem,yes
71,territoriaalne,probleem,yes
72,riiklik,kuritegu,yes
73,poliitiline,kuritegu,yes
74,viimne,vint,yes
75,viimane,vint,yes
76,absoluutne,langus,yes
77,lõputu,langus,yes
78,pikk,tingimus,yes
79,kauge,tingimus,no
80,ühiskondlik,seisukoht,yes
81,avalik,seisukoht,yes
82,viimane,koolipäev,yes
83,püsiv,koolipäev,no
84,kaasaegne,kaubandus,yes
85,popp,kaubandus,yes
86,aus,firma,yes
87,otsekohene,firma,yes
88,õiglane,hind,yes
89,aus,hind,yes
90,tulev,sissetulek,yes
91,järgmine,sissetulek,yes
92,korraldav,ametnik,yes
