,sentence,adjective,noun,hinnang
0,"No muidugi ... midagi ... ma ei saa seda ütelda ( kõlab <<<ADJ naer , kavala pilguga Sahlene aimab kätega järele seda , mis meestel on ) .",pikk,naer,yes
1,"No muidugi ... midagi ... ma ei saa seda ütelda ( kõlab <<<ADJ naer , kavala pilguga Sahlene aimab kätega järele seda , mis meestel on ) .",kauge,naer,yes
2,"Teisalt tekitab poliitikute ja valijate vahelist võõrandumist valimissüsteem , mis <<<ADJ erakondadele eelistab kunstlikult moodustatud abstraktseid liitusid ja mis võimaldab parlamenti pääsu absurdselt väikese toetuse saanud poliitikutele .",konkreetne,erakond,yes
3,"Teisalt tekitab poliitikute ja valijate vahelist võõrandumist valimissüsteem , mis <<<ADJ erakondadele eelistab kunstlikult moodustatud abstraktseid liitusid ja mis võimaldab parlamenti pääsu absurdselt väikese toetuse saanud poliitikutele .",minimalistlik,erakond,yes
4,"Paljud Hollywoodi staarid ja tähehakatised on <<<ADJ kirurgi kabineti uksi kulutanud , et vormikamat rinnapartiid saada ja selle abil oma karjäärile tuult tiibadesse puhuda .",plastiline,kirurg,yes
5,"Paljud Hollywoodi staarid ja tähehakatised on <<<ADJ kirurgi kabineti uksi kulutanud , et vormikamat rinnapartiid saada ja selle abil oma karjäärile tuult tiibadesse puhuda .",paindlik,kirurg,no
6,Pensioni suurus kujuneks vastavalt järgmise põlvkonna arvukusele ja meie lapsed ning lapselapsed ei peaks ägama liig <<<ADJ maksukoormuse all .,suur,maksukoormus,yes
7,Pensioni suurus kujuneks vastavalt järgmise põlvkonna arvukusele ja meie lapsed ning lapselapsed ei peaks ägama liig <<<ADJ maksukoormuse all .,kõrge,maksukoormus,yes
8,Selles tunnistatakse kehtetuks seni <<<ADJ pakkujate eelistamist võimaldanud sätted .,kodumaine,pakkuja,yes
9,Selles tunnistatakse kehtetuks seni <<<ADJ pakkujate eelistamist võimaldanud sätted .,riigisisene,pakkuja,yes
10,Seepärast teeb koosolek ettepaneku sm. direktor K. Sahale kõrvaldada Harry Teffel teatri koosseisust kui nõukogulikku “ Vanemuist ” <<<ADJ töötaja .,kahjustav,töötaja,yes
11,Seepärast teeb koosolek ettepaneku sm. direktor K. Sahale kõrvaldada Harry Teffel teatri koosseisust kui nõukogulikku “ Vanemuist ” <<<ADJ töötaja .,ebaotstarbekas,töötaja,no
12,"Neid on nähtud koos aega veetmas mitmetes meelelahutusasutustes , hiljaaegu <<<ADJ õhtupoolikut sisustamas eksklusiivsel veinipööningul Vinoteek .",õdus,õhtupoolik,yes
13,"Neid on nähtud koos aega veetmas mitmetes meelelahutusasutustes , hiljaaegu <<<ADJ õhtupoolikut sisustamas eksklusiivsel veinipööningul Vinoteek .",meeldiv,õhtupoolik,yes
14,"Jaanus Hämarsoo “ Selle kaalu ikka tunned taskus ! ” kiidab ROBERT LEPIKSON oma <<<ADJ , mitu- sada tuhat krooni maksvat mobiiltelefoni .",uus,mobiiltelefon,yes
15,"Jaanus Hämarsoo “ Selle kaalu ikka tunned taskus ! ” kiidab ROBERT LEPIKSON oma <<<ADJ , mitu- sada tuhat krooni maksvat mobiiltelefoni .",originaalne,mobiiltelefon,yes
16,"Viiendaks : <<<ADJ autonoomia neile rahvastele , kelle eraldamine Venemaast geograafilistel põhjustel ei olnud võimalik .",laialdane,autonoomia,yes
17,"Viiendaks : <<<ADJ autonoomia neile rahvastele , kelle eraldamine Venemaast geograafilistel põhjustel ei olnud võimalik .",lai,autonoomia,no
18,"Võibolla mõni sakslane istub , neil on Baltimaade vastu <<<ADJ huvi .",ajalooline,huvi,yes
19,"Võibolla mõni sakslane istub , neil on Baltimaade vastu <<<ADJ huvi .",keskaegne,huvi,no
20,"” Hollyle meeldiks , kui Eesti teeks teatavaks mingi <<<ADJ seisukoha , näiteks et siia pääsevad ainult etnilised eestlased ja õigusjärgsed kodanikud .",lõplik,seisukoht,yes
21,"” Hollyle meeldiks , kui Eesti teeks teatavaks mingi <<<ADJ seisukoha , näiteks et siia pääsevad ainult etnilised eestlased ja õigusjärgsed kodanikud .",viimane,seisukoht,yes
22,"Neljas , konstruktiivne teema puudutab aga juba võimalikke / <<<ADJ ümberkorraldusi ülemaailmses plaanis .",vajalik,ümberkorraldus,yes
23,"Neljas , konstruktiivne teema puudutab aga juba võimalikke / <<<ADJ ümberkorraldusi ülemaailmses plaanis .",hädavajalik,ümberkorraldus,yes
24,” Psühholoogia ja enesearendamine on Kerstile alati <<<ADJ huvi pakkunud .,suur,huvi,yes
25,” Psühholoogia ja enesearendamine on Kerstile alati <<<ADJ huvi pakkunud .,sügav,huvi,yes
26,"” Särtsakas Kadi loodab tulevikus tööd teha <<<ADJ erialal , reklaamiloomingu muusikalisel poolel .",õpitav,eriala,yes
27,"” Särtsakas Kadi loodab tulevikus tööd teha <<<ADJ erialal , reklaamiloomingu muusikalisel poolel .",õpetlik,eriala,no
28,"Tegelikult on see ju üks <<<ADJ usundi vorme , näiteks pühapiltide kummardamine , mida ajast aega on tehtud .",ürgne,usund,yes
29,"Tegelikult on see ju üks <<<ADJ usundi vorme , näiteks pühapiltide kummardamine , mida ajast aega on tehtud .",algne,usund,yes
30,Ametisse jäänud politseinikud jätkavad tööd pidevas pingeseisundis ja <<<ADJ ülekoormusega .,suur,ülekoormus,yes
31,Ametisse jäänud politseinikud jätkavad tööd pidevas pingeseisundis ja <<<ADJ ülekoormusega .,sügav,ülekoormus,no
32,"” Mõnikord meeldib talle esile tuua oma <<<ADJ ja sisemise mina vastuolulisust : “ Pole minust heasoovlikumat inimest ” , “ Mul on looduse poolt kaasa antud lahke nägu ” jne .",välimine,mina,yes
33,"” Mõnikord meeldib talle esile tuua oma <<<ADJ ja sisemise mina vastuolulisust : “ Pole minust heasoovlikumat inimest ” , “ Mul on looduse poolt kaasa antud lahke nägu ” jne .",väline,mina,yes
34,“ Itaalia on jätnud mulle just <<<ADJ tunde !,kodune,tund,no
35,“ Itaalia on jätnud mulle just <<<ADJ tunde !,mitteametlik,tund,no
36,"Aga <<<ADJ büroosid tuleb selle tõttu , et elu läheb edasi .",uus,büroo,yes
37,"Aga <<<ADJ büroosid tuleb selle tõttu , et elu läheb edasi .",originaalne,büroo,no
38,"“ Koolis mõni päris , et su isal on <<<ADJ naine .",uus,naine,yes
39,"“ Koolis mõni päris , et su isal on <<<ADJ naine .",originaalne,naine,no
40,"<<<ADJ naised kimasid tsiklitel baari ette , revolvrid vööl .",õllene,naine,yes
41,"<<<ADJ naised kimasid tsiklitel baari ette , revolvrid vööl .",ebakaine,naine,yes
42,"tekst : Tarmo Virki ( “ Postimees ” ) Kollane ajakirjandus lokkab ja <<<ADJ lehed kaotavad lugejaid , kinnitab septembri keskel Soomes avaldatud meediauurimus .",asjalik,leht,yes
43,"tekst : Tarmo Virki ( “ Postimees ” ) Kollane ajakirjandus lokkab ja <<<ADJ lehed kaotavad lugejaid , kinnitab septembri keskel Soomes avaldatud meediauurimus .",ettenägelik,leht,yes
44,"Tema lapsepõlve fotoalbumeis pole aga pildid temast ja ta perest , vaid hoopis <<<ADJ Estonia teatri lauljate ja tantsijate fotod .",toonane,teater,yes
45,"Tema lapsepõlve fotoalbumeis pole aga pildid temast ja ta perest , vaid hoopis <<<ADJ Estonia teatri lauljate ja tantsijate fotod .",vana,teater,yes
46,Tollane valitsusjuht Mart Laar ei varjanud oma tundelist suhtumist Tartu Kommertspanka kui “ <<<ADJ ” panka .,endine,pank,yes
47,Tollane valitsusjuht Mart Laar ei varjanud oma tundelist suhtumist Tartu Kommertspanka kui “ <<<ADJ ” panka .,läinud,pank,yes
