,sentence,adjective,noun,hinnang
0,"Ent ka Keskülast on piisavalt kirjeldusi , mida lugeda , kui tahta <<<ADJ arvustust teha .",asjatundlik,arvustus,yes
1,"Ent ka Keskülast on piisavalt kirjeldusi , mida lugeda , kui tahta <<<ADJ arvustust teha .",meisterlik,arvustus,yes
2,"Meistrite Liigas on karmid nõudmised - staadionil peavad olema <<<ADJ intervjuu- ja korralikud VIP-ruumid , teleboksid , mitusada kohta Meistrite Liiga ametlikele sponsoritele , jne .",suur,intervjuu,no
3,"Meistrite Liigas on karmid nõudmised - staadionil peavad olema <<<ADJ intervjuu- ja korralikud VIP-ruumid , teleboksid , mitusada kohta Meistrite Liiga ametlikele sponsoritele , jne .",sügav,intervjuu,no
4,"Soojamajanduse korrastamiseks mõeldud Rootsi riikliku , NUTEK-i nimelise fondi 1,67 miljoni Eesti kroonine laen jõudis Vändrasse 1994. aasta lõpul ja paigutati eraldi arvele .",riiklik,fond,yes
5,"Soojamajanduse korrastamiseks mõeldud Rootsi riikliku , NUTEK-i nimelise fondi 1,67 miljoni Eesti kroonine laen jõudis Vändrasse 1994. aasta lõpul ja paigutati eraldi arvele .",avalik,fond,yes
6,"” Oma päris esimese <<<ADJ elamuse kohta aga ütleb Mark : “ Mis ma siin keerutan , olin kuuene , kui Viljandis Terase tänaval see Vello Orumets mulle ikka väga meeldis .",erootiline,elamus,yes
7,"” Oma päris esimese <<<ADJ elamuse kohta aga ütleb Mark : “ Mis ma siin keerutan , olin kuuene , kui Viljandis Terase tänaval see Vello Orumets mulle ikka väga meeldis .",seksuaalne,elamus,no
8,"Meie sõnum on , et ka tänastes tingimustes on võimalik saavutada 3 - 4 korda efektiivsemalt <<<ADJ mudel .",toimiv,mudel,yes
9,"Meie sõnum on , et ka tänastes tingimustes on võimalik saavutada 3 - 4 korda efektiivsemalt <<<ADJ mudel .",interaktiivne,mudel,no
10,"Kuid samas tuleb arvestada ebakindla , <<<ADJ reegleid otsiva maailmamajandusega ja küsida : kas USA väikelinna mahtu rahvaarvuga riigil on tulevikku EL-ist väljaspool ?",uus,reegel,yes
11,"Kuid samas tuleb arvestada ebakindla , <<<ADJ reegleid otsiva maailmamajandusega ja küsida : kas USA väikelinna mahtu rahvaarvuga riigil on tulevikku EL-ist väljaspool ?",originaalne,reegel,yes
12,"“ Sellest korterist on kõik nõukogudeaegne kadunud , lõhkusime vaheseinad ja taastasime <<<ADJ revolutsioonieelse planeeringu .",tüüpiline,planeering,yes
13,"“ Sellest korterist on kõik nõukogudeaegne kadunud , lõhkusime vaheseinad ja taastasime <<<ADJ revolutsioonieelse planeeringu .",iseloomulik,planeering,yes
14,Teda on seni peetud oma <<<ADJ tööandjale väga ustavaks .,kunagine,tööandja,yes
15,Teda on seni peetud oma <<<ADJ tööandjale väga ustavaks .,omaaegne,tööandja,yes
16,Porgandit ja rooska pakkuvad rahavoogude üle otsustajad trügivad aga läbi investeeringute ja spekulatsiooni kapitali <<<ADJ võidule .,lõplik,võit,yes
17,Porgandit ja rooska pakkuvad rahavoogude üle otsustajad trügivad aga läbi investeeringute ja spekulatsiooni kapitali <<<ADJ võidule .,viimane,võit,yes
18,Esimene oli puult puule hüppavatele esivanematele eluliselt <<<ADJ oskus .,vajalik,oskus,yes
19,Esimene oli puult puule hüppavatele esivanematele eluliselt <<<ADJ oskus .,hädavajalik,oskus,yes
20,” <<<ADJ mõtlemise peale tuleb talle meelde enda kümnes “ juubel ” .,pikk,mõtlemine,yes
21,” <<<ADJ mõtlemise peale tuleb talle meelde enda kümnes “ juubel ” .,kauge,mõtlemine,no
22,Fondi <<<ADJ raha eest tahavad Kristi ja Aivar stagneerunud kooliõpetajaid seksireisidele saata .,kogunev,raha,yes
23,Fondi <<<ADJ raha eest tahavad Kristi ja Aivar stagneerunud kooliõpetajaid seksireisidele saata .,edasiviiv,raha,no
24,"Kuni rahvusvahelised investorid lasksid heldelt rahal voolata <<<ADJ riikide väärtpaberiturule , töötas kõik õlitatult .",arenev,riik,yes
25,"Kuni rahvusvahelised investorid lasksid heldelt rahal voolata <<<ADJ riikide väärtpaberiturule , töötas kõik õlitatult .",aktiivne,riik,yes
26,"Puhkeruum peab mahutama lahedalt vähemalt kaksteist inimest ning olema varustatud WC , dushiruumi , käterätikute ja <<<ADJ peegliga .",suur,peegel,yes
27,"Puhkeruum peab mahutama lahedalt vähemalt kaksteist inimest ning olema varustatud WC , dushiruumi , käterätikute ja <<<ADJ peegliga .",sügav,peegel,no
28,"Mulle on tehtud paar <<<ADJ pakkumist ja üks neist on film , mille peaosas on Andy Garcia .",konkreetne,pakkumine,yes
29,"Mulle on tehtud paar <<<ADJ pakkumist ja üks neist on film , mille peaosas on Andy Garcia .",minimalistlik,pakkumine,no
30,"Sellest lähtuvalt väidab suur osa eelfinantseeritava pensionikindlustuse süsteemi pooldajaid , et reform võimaldab suurendada tööhõivet <<<ADJ tööjõu pakkumise kaudu .",kasvav,tööjõud,yes
