,adjective,noun,hinnang
0,pikk,naer,yes
1,kauge,naer,no
2,konkreetne,erakond,yes
3,minimalistlik,erakond,yes
4,plastiline,kirurg,yes
5,paindlik,kirurg,yes
6,suur,maksukoormus,yes
7,kõrge,maksukoormus,yes
8,kodumaine,pakkuja,yes
9,riigisisene,pakkuja,yes
10,kahjustav,töötaja,yes
11,ebaotstarbekas,töötaja,yes
12,õdus,õhtupoolik,yes
13,meeldiv,õhtupoolik,yes
14,uus,mobiiltelefon,yes
15,originaalne,mobiiltelefon,yes
16,laialdane,autonoomia,yes
17,lai,autonoomia,yes
18,ajalooline,huvi,yes
19,keskaegne,huvi,yes
20,lõplik,seisukoht,yes
21,viimane,seisukoht,yes
22,vajalik,ümberkorraldus,yes
23,hädavajalik,ümberkorraldus,yes
24,suur,huvi,yes
25,sügav,huvi,yes
26,õpitav,eriala,yes
27,õpetlik,eriala,yes
28,ürgne,usund,yes
29,algne,usund,yes
30,suur,ülekoormus,yes
31,sügav,ülekoormus,no
32,välimine,mina,yes
33,väline,mina,yes
34,kodune,tund,yes
35,mitteametlik,tund,no
36,uus,büroo,yes
37,originaalne,büroo,yes
38,uus,naine,yes
39,originaalne,naine,no
40,õllene,naine,yes
41,ebakaine,naine,yes
42,asjalik,leht,yes
43,ettenägelik,leht,yes
44,toonane,teater,yes
45,vana,teater,yes
46,endine,pank,yes
47,läinud,pank,yes
48,riiklik,majandussektor,yes
49,poliitiline,majandussektor,no
50,omaaegne,diplom,yes
51,läinud,diplom,yes
52,siiras,iroonia,yes
53,ehe,iroonia,yes
54,viimane,pätt,yes
55,püsiv,pätt,yes
56,uus,näitus,yes
57,originaalne,näitus,yes
58,ettearvamatu,valmisolek,yes
59,ennustamatu,valmisolek,yes
60,ametlik,propaganda,yes
61,täieõiguslik,propaganda,yes
62,pikaajaline,baas,yes
63,pikk,baas,yes
64,toonane,õhustik,yes
65,omaaegne,õhustik,yes
66,silmapaistev,anne,yes
67,huvitav,anne,yes
68,poliitiline,süsteem,yes
69,riiklik,süsteem,yes
70,omaaegne,töö,yes
71,läinud,töö,yes
72,räpane,tegevus,yes
73,tolmune,tegevus,yes
74,uus,tööandja,yes
75,originaalne,tööandja,yes
76,konkreetne,lõik,yes
77,minimalistlik,lõik,yes
78,uus,komme,yes
79,originaalne,komme,yes
80,suur,üleelamine,yes
81,sügav,üleelamine,yes
82,moraalne,kahi,no
83,eetiline,kahi,no
84,endine,mõnu,yes
85,läinud,mõnu,yes
86,tüütu,pisiasi,yes
87,pealetükkiv,pisiasi,yes
88,vajalik,süsteem,yes
89,hädavajalik,süsteem,yes
90,suur,rahu,yes
91,sügav,rahu,yes
92,kunagine,aktsionär,yes
93,omaaegne,aktsionär,yes
94,arenev,süsteem,yes
95,aktiivne,süsteem,yes
96,endine,alluv,yes
97,omaaegne,alluv,yes
98,unine,olek,yes
99,väsinud,olek,yes
100,suur,summa,yes
101,kõrge,summa,no
102,suur,tuli,yes
103,kõrge,tuli,yes
104,hiljutine,pressikonverents,yes
105,uus,pressikonverents,yes
106,ere,pilt,yes
107,intensiivne,pilt,yes
108,andekas,näitlejatar,yes
109,loov,näitlejatar,yes
110,väike,osalus,yes
111,madal,osalus,yes
112,peamine,mure,yes
113,eriline,mure,yes
114,uus,lavastus,yes
115,originaalne,lavastus,yes
116,ajatu,elu,yes
117,igavene,elu,yes
118,vajalik,investeering,yes
119,hädavajalik,investeering,yes
120,ajalooline,sõna,yes
121,keskaegne,sõna,yes
122,positiivne,suhtumine,yes
123,hea,suhtumine,yes
124,peatne,abiellumine,yes
125,homne,abiellumine,yes
126,toonane,esimees,yes
127,omaaegne,esimees,yes
128,käegakatsutav,lõpp,yes
129,aineline,lõpp,no
130,lugupeetud,esimees,yes
131,auväärne,esimees,yes
132,kunagine,peadirektor,yes
133,omaaegne,peadirektor,yes
134,saabuv,relv,yes
135,homne,relv,yes
136,peatne,pulm,yes
137,homne,pulm,yes
138,sotsiaalne,häda,yes
139,seltsiv,häda,no
140,väike,konjak,yes
141,noor,konjak,yes
142,pikk,kapp,yes
143,kauge,kapp,yes
144,klassikaline,stiil,yes
145,standardne,stiil,yes
146,viimane,kommunist,yes
147,püsiv,kommunist,yes
148,viimane,sitt,no
149,püsiv,sitt,no
150,toonane,äriidee,yes
151,vana,äriidee,yes
152,uus,mängureegel,yes
153,originaalne,mängureegel,yes
154,efektiivne,side,yes
155,mõjukas,side,yes
156,riiklik,stipendium,yes
157,poliitiline,stipendium,yes
158,suur,õppus,yes
159,sügav,õppus,no
160,järgmine,reis,yes
161,järgnev,reis,yes
162,väike,kodumaa,yes
163,noor,kodumaa,yes
164,pikk,kasv,yes
165,kauge,kasv,no
166,ametlik,kunstnik,yes
167,täieõiguslik,kunstnik,yes
168,kaasaegne,kunst,yes
169,popp,kunst,yes
170,peamine,konkurent,yes
171,eriline,konkurent,yes
172,keskmine,doos,yes
173,vahepealne,doos,yes
174,viimane,kooskõla,yes
175,püsiv,kooskõla,yes
176,otsene,ohver,yes
177,esmane,ohver,yes
178,mõistetav,muster,yes
179,arusaadav,muster,yes
180,pikk,tänav,yes
181,kauge,tänav,yes
182,kunagine,laulja,yes
183,omaaegne,laulja,yes
184,soliidne,koht,yes
185,auväärne,koht,yes
186,hiljutine,reis,yes
187,uus,reis,yes
188,suur,väli,yes
189,sügav,väli,yes
190,maitsev,õhtusöök,yes
191,hõrk,õhtusöök,yes
192,väike,toetus,yes
193,madal,toetus,yes
194,viimane,direktor,yes
195,püsiv,direktor,yes
196,valitsustevaheline,kliimamuutus,yes
197,internatsionaalne,kliimamuutus,yes
198,lootusetu,ettevõtmine,yes
199,kriitiline,ettevõtmine,yes
