,sentence,adjective,noun,hinnang
0,"See algab elementaarsetest eluks <<<ADJ tingimustest , nagu riided , toit ja peavari , ning lõpeb luksusesemetega , mille järele vajadus on õpitud või tekitatud .",tarvilik,tingimus,yes
1,"See algab elementaarsetest eluks <<<ADJ tingimustest , nagu riided , toit ja peavari , ning lõpeb luksusesemetega , mille järele vajadus on õpitud või tekitatud .",hädavajalik,tingimus,yes
2,"Olen kasvanud üles Tallinnas Kevade tänavas , seal oli <<<ADJ aed , kus sai kõvasti sporti teha .",suur,aed,yes
3,"Olen kasvanud üles Tallinnas Kevade tänavas , seal oli <<<ADJ aed , kus sai kõvasti sporti teha .",kõrge,aed,no
4,"Rivaalitsemisest hoolimata pole klannidel mingit <<<ADJ erinevust ning kui nende huvid ka aeg-ajalt põrkuvad , on tegemist “ pada sõimab katelt ” situatsiooniga .",maailmavaateline,erinevus,yes
5,"Rivaalitsemisest hoolimata pole klannidel mingit <<<ADJ erinevust ning kui nende huvid ka aeg-ajalt põrkuvad , on tegemist “ pada sõimab katelt ” situatsiooniga .",filosoofiline,erinevus,yes
6,"Muuseumi väravas astub tulijaile väärikalt vastu <<<ADJ , ent padjataoliselt priske kass .",väike,kass,yes
7,"Muuseumi väravas astub tulijaile väärikalt vastu <<<ADJ , ent padjataoliselt priske kass .",noor,kass,yes
8,"Ei oska öelda , kas “ süüdi ” on <<<ADJ aastatuhat , kuuseisud või on pereloomine tõepoolest jälle au sisse tõusnud .",uus,aastatuhat,yes
9,"Ei oska öelda , kas “ süüdi ” on <<<ADJ aastatuhat , kuuseisud või on pereloomine tõepoolest jälle au sisse tõusnud .",originaalne,aastatuhat,no
10,"USA-s tehti juba 1930. aastatel katsetega kindlaks , et inimese pea soojendamisel tema poolt <<<ADJ aja kulg aeglustub .",tajutav,aeg,yes
11,"USA-s tehti juba 1930. aastatel katsetega kindlaks , et inimese pea soojendamisel tema poolt <<<ADJ aja kulg aeglustub .",endastmõistetav,aeg,no
12,"Soomlasest fotograaf tõstab <<<ADJ vagude vahel poolesajakiloseid viinamarjakaste ja leiab teise päeva õhtuks , et on küll saanud piisava füüsilise koormuse , kuid spetsialistina liiga kallis sellist tööd tegema .",niiske,vagu,yes
13,"Soomlasest fotograaf tõstab <<<ADJ vagude vahel poolesajakiloseid viinamarjakaste ja leiab teise päeva õhtuks , et on küll saanud piisava füüsilise koormuse , kuid spetsialistina liiga kallis sellist tööd tegema .",kleepuv,vagu,no
14,"Cameron naudib Hollywoodi staari seisust , võib küsida stuudiobossidelt 10 miljoni dollari suurust honorari ning saab tööpakkumisi oma ala <<<ADJ tippudelt .",absoluutne,tipp,yes
