,adjective,noun,hinnang
0,asjatundlik,arvustus,yes
1,meisterlik,arvustus,yes
2,suur,intervjuu,yes
3,sügav,intervjuu,yes
4,riiklik,fond,yes
5,avalik,fond,yes
6,erootiline,elamus,yes
7,seksuaalne,elamus,yes
8,toimiv,mudel,yes
9,interaktiivne,mudel,yes
10,uus,reegel,yes
11,originaalne,reegel,yes
12,tüüpiline,planeering,yes
13,iseloomulik,planeering,yes
14,kunagine,tööandja,yes
15,omaaegne,tööandja,yes
16,lõplik,võit,yes
17,viimane,võit,yes
18,vajalik,oskus,yes
19,hädavajalik,oskus,yes
20,pikk,mõtlemine,yes
21,kauge,mõtlemine,no
22,kogunev,raha,yes
23,edasiviiv,raha,yes
24,arenev,riik,yes
25,aktiivne,riik,yes
26,suur,peegel,yes
27,sügav,peegel,no
28,konkreetne,pakkumine,yes
29,minimalistlik,pakkumine,no
30,kasvav,tööjõud,yes
31,edenev,tööjõud,no
32,sotsiaalne,programm,yes
33,seltsiv,programm,yes
34,pikaajaline,krediit,yes
35,pikk,krediit,no
36,suur,sõprus,yes
37,sügav,sõprus,yes
38,õiguslik,kaal,yes
39,konstitutsiooniline,kaal,yes
40,uudne,olukord,yes
41,originaalne,olukord,yes
42,vajalik,aine,yes
43,hädavajalik,aine,yes
44,muinasjutuline,kuningas,yes
45,võrreldamatu,kuningas,yes
46,kahekordne,olümpiavõitja,yes
47,korduv,olümpiavõitja,yes
48,suur,vaev,yes
49,sügav,vaev,no
50,sellekohane,kiri,yes
51,adekvaatne,kiri,yes
52,vajalik,kogus,yes
53,hädavajalik,kogus,yes
54,konkreetne,lisakulu,yes
55,minimalistlik,lisakulu,no
56,uus,sadam,yes
57,originaalne,sadam,yes
58,mõtteline,järg,yes
59,abstraktne,järg,no
60,rahvuslik,komitee,yes
61,etniline,komitee,yes
62,võimekas,pankur,yes
63,loov,pankur,yes
64,pöördeline,võimalus,yes
65,radikaalne,võimalus,yes
66,kasvav,lugejaskond,yes
67,edenev,lugejaskond,no
68,suur,kogus,yes
69,kõrge,kogus,no
70,vajalik,tegelane,yes
71,hädavajalik,tegelane,yes
72,sünnitusjärgne,depressioon,yes
73,järgnev,depressioon,yes
74,peamine,opositsioon,yes
75,fundamentaalne,opositsioon,yes
76,uus,president,yes
77,originaalne,president,yes
78,uus,arengusuund,yes
79,originaalne,arengusuund,yes
80,otsene,põhjus,yes
81,esmane,põhjus,yes
82,uus,kiindumus,yes
83,originaalne,kiindumus,yes
84,hiljutine,jagamine,yes
85,uus,jagamine,yes
86,sisemine,mina,yes
87,tubane,mina,yes
88,otsene,puudujääk,yes
89,esmane,puudujääk,yes
90,sotsiaalne,plahvatus,yes
91,seltsiv,plahvatus,no
92,väike,tõus,yes
93,madal,tõus,yes
94,positiivne,näide,yes
95,hea,näide,yes
96,positiivne,suund,yes
97,hea,suund,yes
98,impulsiivne,iseloom,yes
99,peru,iseloom,no
100,hämar,tehing,yes
101,läbipaistmatu,tehing,yes
102,järgmine,kohtuprotsess,yes
103,järgnev,kohtuprotsess,yes
104,mõõdukas,tasu,yes
105,keskpärane,tasu,yes
106,objektiivne,definitsioon,yes
107,aineline,definitsioon,no
108,toimiv,puudumine,no
109,interaktiivne,puudumine,no
110,riiklik,ettevõte,yes
111,avalik,ettevõte,yes
112,väike,jõgi,yes
113,keskpärane,jõgi,yes
114,riiklik,südametunnistus,no
115,poliitiline,südametunnistus,yes
116,enneolematu,huvi,yes
117,ebatavaline,huvi,yes
118,uus,sissetulekuallikas,yes
119,originaalne,sissetulekuallikas,yes
120,kaasaegne,aparatuur,yes
121,popp,aparatuur,yes
122,suur,tulevik,yes
123,sügav,tulevik,no
124,ajalooline,kodumaa,yes
125,keskaegne,kodumaa,yes
126,lähenev,talv,yes
127,homne,talv,yes
128,rahvuslik,ballett,yes
129,etniline,ballett,yes
130,hiljutine,parlamendivalimine,yes
131,uus,parlamendivalimine,yes
132,ühesugune,olukord,yes
133,sarnane,olukord,yes
134,viimane,harjutus,yes
135,püsiv,harjutus,yes
136,uus,inimene,yes
137,originaalne,inimene,yes
138,suur,naine,yes
139,sügav,naine,no
140,ammune,seotus,yes
141,omaaegne,seotus,yes
142,väike,palk,yes
143,madal,palk,yes
144,uus,palk,yes
145,originaalne,palk,yes
146,vastav,ideoloogia,yes
147,adekvaatne,ideoloogia,yes
148,kõrge,riigitegelane,yes
149,kõrguv,riigitegelane,no
150,ühiskondlik,teema,yes
151,avalik,teema,yes
152,endine,kalurikolhoos,yes
153,omaaegne,kalurikolhoos,yes
154,perekeskne,kodu,yes
155,kodune,kodu,yes
156,rahaline,huvi,yes
157,likviidne,huvi,no
158,poliitiline,juht,yes
159,riiklik,juht,yes
160,uus,partei,yes
161,originaalne,partei,yes
162,hiljutine,juhtum,yes
163,uus,juhtum,yes
164,uus,korterelamu,yes
165,originaalne,korterelamu,yes
166,uus,poliitika,yes
167,originaalne,poliitika,yes
168,iidne,aeg,yes
169,vana,aeg,yes
170,demokraatlik,tendents,yes
171,kodanlik,tendents,yes
172,vajalik,suund,yes
173,hädavajalik,suund,yes
174,igavene,aeg,yes
175,lõputu,aeg,yes
176,kestev,väärtus,yes
177,jääv,väärtus,yes
178,järgmine,konverents,yes
179,järgnev,konverents,yes
180,suur,patt,yes
181,sügav,patt,no
182,hiline,minevik,yes
183,mahajäänud,minevik,no
184,pikk,jalutuskäik,yes
