,adjective,noun,hinnang
0,kahetsusväärne,komme,yes
1,õnnetu,komme,yes
2,vastutustundetu,isik,yes
3,kergemeelne,isik,yes
4,lootusetu,narkomaan,yes
5,kriitiline,narkomaan,yes
6,hubane,kamin,yes
7,kodune,kamin,yes
8,suur,söömaaeg,yes
9,sügav,söömaaeg,no
10,riiklik,register,yes
11,avalik,register,yes
12,vastav,vangla,yes
13,asjatundlik,vangla,yes
14,suur,näitemäng,yes
15,sügav,näitemäng,yes
16,pingeline,tööpäev,yes
17,ärev,tööpäev,yes
18,ajaline,nihe,yes
19,õigeaegne,nihe,yes
20,poliitiline,konkurent,yes
21,riiklik,konkurent,yes
22,keskmine,töötasu,yes
23,mõõdukas,töötasu,yes
24,unistav,kosilane,yes
25,afektiivne,kosilane,yes
26,otsene,tee,yes
27,esmane,tee,yes
28,suur,küsimus,yes
29,sügav,küsimus,yes
30,suur,saladuskate,yes
31,sügav,saladuskate,no
32,hindamatu,abiline,yes
33,oluline,abiline,yes
34,eelnev,tsitaat,yes
35,eelmine,tsitaat,yes
36,ebamäärane,eesmärk,yes
37,kahemõtteline,eesmärk,yes
38,suur,salk,yes
39,sügav,salk,no
40,uus,mootorratas,yes
41,originaalne,mootorratas,yes
42,priske,kasum,yes
43,luksuslik,kasum,no
44,suur,usk,yes
45,sügav,usk,yes
46,vaimne,partner,yes
47,intellektuaalne,partner,yes
48,suur,oskus,yes
49,kõrge,oskus,no
50,uus,relv,yes
51,originaalne,relv,yes
52,õiguslik,suhe,yes
53,juriidiline,suhe,yes
54,soliidne,eestlane,yes
55,auväärne,eestlane,yes
56,töötav,tankla,yes
57,mõjukas,tankla,yes
58,emalik,tüüp,yes
59,isalik,tüüp,yes
60,viimane,statistika,yes
61,püsiv,statistika,yes
62,kaasaegne,filosoofia,yes
63,popp,filosoofia,yes
64,peamine,süü,yes
65,eriline,süü,no
66,väike,firma,yes
67,noor,firma,yes
68,suur,mõõn,yes
69,sügav,mõõn,yes
70,endine,vang,yes
71,omaaegne,vang,yes
72,uus,demokraatia,yes
73,originaalne,demokraatia,yes
74,pikk,aluspesu,yes
75,kauge,aluspesu,no
76,sellekohane,näide,yes
77,sobiv,näide,yes
78,uus,armastus,yes
79,originaalne,armastus,yes
80,absoluutne,reaalsus,yes
81,lõputu,reaalsus,yes
82,suur,rahvusriik,yes
83,sügav,rahvusriik,no
84,suur,soojus,yes
85,kõrge,soojus,no
86,järgmine,tegu,yes
87,järgnev,tegu,yes
88,vältimatu,areng,yes
89,hädavajalik,areng,yes
90,lahtine,turg,yes
91,katmata,turg,yes
92,kerge,ehitus,yes
93,meelelahutuslik,ehitus,yes
94,anonüümne,hindamine,yes
95,teadmata,hindamine,no
96,rahaline,autasu,yes
97,likviidne,autasu,no
98,keskmine,kiht,yes
99,leplik,kiht,yes
100,seaduslik,tee,yes
101,legaalne,tee,yes
102,väike,laulja,yes
103,noor,laulja,yes
104,räpane,trikk,yes
105,tolmune,trikk,no
106,kunagine,number,yes
107,läinud,number,no
108,tihe,ajagraafik,yes
109,tihke,ajagraafik,no
110,uus,peategelane,yes
111,originaalne,peategelane,yes
112,ühiskondlik,õhkkond,yes
113,arvukas,õhkkond,no
114,uus,infoallikas,yes
115,originaalne,infoallikas,yes
116,dünaamiline,suurus,yes
117,aktiivne,suurus,no
118,absoluutne,kõrgus,yes
119,lõputu,kõrgus,no
120,kaitsetu,perekond,yes
121,abitu,perekond,yes
122,vajalik,toode,yes
123,hädavajalik,toode,yes
124,veniv,päike,no
125,elastne,päike,no
126,uus,väljaanne,yes
127,originaalne,väljaanne,yes
128,objektiivne,asjaolu,yes
129,aineline,asjaolu,no
130,turjakas,poiss,yes
131,kogukas,poiss,yes
132,suur,luksus,yes
133,sügav,luksus,no
134,viimane,toetaja,yes
135,püsiv,toetaja,yes
136,kõrge,kolesterool,yes
137,kõrguv,kolesterool,no
138,kunagine,raha,yes
139,läinud,raha,yes
140,väike,õhupall,yes
141,keskpärane,õhupall,yes
142,esmane,vajadus,yes
143,algupärane,vajadus,yes
144,suur,panus,yes
145,kõrge,panus,yes
146,matemaatiline,mudel,yes
147,aritmeetiline,mudel,yes
148,seotud,afäär,yes
149,siduv,afäär,yes
150,poliitiline,meelsus,yes
151,riiklik,meelsus,yes
152,sisemine,tuli,yes
153,tubane,tuli,yes
154,lahe,äraelamine,yes
155,mitteametlik,äraelamine,no
156,kõrge,palk,yes
157,kõrguv,palk,no
158,selgesõnaline,jah-sõna,yes
159,ilmekas,jah-sõna,yes
160,vajaminev,raha,yes
161,hädavajalik,raha,yes
162,suur,hääl,yes
163,sügav,hääl,yes
164,keskmine,maainimene,yes
165,leplik,maainimene,yes
166,regionaalne,julgeolekusüsteem,yes
167,territoriaalne,julgeolekusüsteem,yes
168,endine,koolimaja,yes
169,omaaegne,koolimaja,yes
170,uus,tõus,yes
171,originaalne,tõus,yes
172,riiklik,institutsioon,yes
173,avalik,institutsioon,yes
174,väike,küngas,yes
175,keskpärane,küngas,yes
176,endine,sõjaväelane,yes
177,läinud,sõjaväelane,yes
178,vastav,info,yes
179,adekvaatne,info,yes
180,paratamatu,lähenemine,yes
181,hädavajalik,lähenemine,yes
182,omapärane,nimi,yes
183,ebatavaline,nimi,yes
184,sisemine,võimuvõitlus,yes
185,tubane,võimuvõitlus,no
186,oskuslik,tarbija,yes
187,meisterlik,tarbija,yes
188,peamine,partei,yes
189,fundamentaalne,partei,yes
190,suur,poeet,yes
191,sügav,poeet,yes
192,endine,riigiettevõte,yes
193,omaaegne,riigiettevõte,yes
194,kodune,asi,yes
195,meeldiv,asi,yes
196,uus,katse,yes
197,originaalne,katse,yes
198,habras,lauljatar,yes
199,õrn,lauljatar,yes
