,subject,verb,object,hinnang,probability
0,valitsus,kutsuma,tema,yes,0.0001876203876036519
1,tema,kutsuma,valitsus,yes,0.00033844094997746623
2,keegi,ennustama,aasta,yes,2.9831173030091356e-05
3,aasta,ennustama,keegi,no,5.427476798908419e-09
4,töö,andma,kogemus,yes,0.0002815012823575694
5,kogemus,andma,töö,yes,0.00016780434338915052
6,laps,tekitama,pinge,yes,0.0007462568679903117
7,pinge,tekitama,laps,no,3.6584089195201035e-06
8,eestlane,mäletama,missioon,yes,1.4254318509333541e-05
9,missioon,mäletama,eestlane,no,1.3647643837757785e-08
10,pool,hoidma,ise,yes,6.374071351668409e-05
11,ise,hoidma,pool,yes,1.0108752342041134e-05
12,mina,andma,pass,yes,0.0007525000747967983
13,pass,andma,mina,yes,2.043352003011708e-05
14,mina,tahtma,buss,yes,0.00018206549853528467
15,buss,tahtma,mina,yes,2.9242751157088308e-06
16,mina,kogema,miski,yes,0.00021191336349411446
17,miski,kogema,mina,no,5.884930452729607e-07
18,tema,vajama,nõustamine,yes,0.004400728792894629
19,nõustamine,vajama,tema,no,3.5571600142763083e-05
20,kohtumine,võtma,jalg,yes,5.8926279513457476e-05
21,jalg,võtma,kohtumine,yes,2.5796107076399076e-05
22,käitumine,tähendama,loobumine,yes,0.006261115324180664
23,loobumine,tähendama,käitumine,yes,0.00043399250049977884
24,ülevaatus,tagama,kinnipidamine,yes,1.62637292191975e-05
25,kinnipidamine,tagama,ülevaatus,no,5.128568643502498e-08
26,valimine,võitma,mahl,no,4.799079577813397e-08
27,mahl,võitma,valimine,yes,2.2109443735945996e-05
28,tema,rajama,edu,yes,6.112390088505802e-05
29,edu,rajama,tema,no,3.230344501529453e-07
30,isa,väljendama,ise,yes,5.3953219635052926e-05
31,ise,väljendama,isa,no,3.879828886830944e-09
32,tema,tõstma,olukord,yes,1.078570196816529e-05
33,olukord,tõstma,tema,yes,3.602864467028664e-06
34,kaart,leidma,kujutamine,yes,4.5382270225163664e-05
35,kujutamine,leidma,kaart,yes,1.8050795748078597e-05
36,ema,tooma,mina,yes,2.384038970401579e-05
37,mina,tooma,ema,yes,6.887470800300707e-05
38,teenistuja,korraldama,stseen,yes,2.7477518170048817e-06
39,stseen,korraldama,teenistuja,no,1.4878892348905641e-10
40,kongress,lubama,aastaeelarve,yes,4.6561860774138575e-06
41,aastaeelarve,lubama,kongress,yes,7.466460222275425e-07
42,Anna,tunnetama,vastuseis,yes,3.8029190062728917e-06
43,vastuseis,tunnetama,Anna,yes,7.06093171560521e-08
44,mees,mõõtma,temperatuur,yes,0.002963121959923579
45,temperatuur,mõõtma,mees,no,5.770945363658738e-10
46,poiss,kaotama,ema,yes,0.00012890108981292986
47,ema,kaotama,poiss,yes,2.4557439710779694e-06
48,mina,näima,tütar,yes,0.0010837533349812825
49,tütar,näima,mina,yes,0.00011012653491342562
50,Kersti,ühendama,hobi,no,1.524652844165158e-07
51,hobi,ühendama,Kersti,no,1.0090995211587761e-07
52,sina,nautima,mis,yes,3.0174858414726813e-05
53,mis,nautima,sina,no,2.770444486381951e-07
54,väikeriik,mängima,roll,yes,0.0017908501771564922
55,roll,mängima,väikeriik,no,3.0158764028132694e-08
56,suhe,võtma,tuur,yes,0.0008024553808024487
57,tuur,võtma,suhe,yes,7.2024165456277e-05
58,juhtum,tõendama,see,yes,2.610797593281064e-05
59,see,tõendama,juhtum,yes,9.461128326187792e-05
60,see,tervendama,mina,yes,4.232017150474676e-05
61,mina,tervendama,see,no,2.4217879353340654e-07
62,tema,pantima,maja,yes,0.0012895490753826143
63,maja,pantima,tema,no,9.652433101464019e-07
64,palestiinlane,pilduma,kivi,yes,0.001466778719948578
65,kivi,pilduma,palestiinlane,no,3.500076239258835e-11
66,suurenemine,näitama,toitumine,no,2.0722808287526968e-07
67,toitumine,näitama,suurenemine,yes,0.00011080716904399321
68,mina,saama,maja,yes,0.0008707244366183085
69,maja,saama,mina,yes,7.635090637064458e-05
70,lähedane,süüdistama,Tanel,yes,0.000527559887188653
71,Tanel,süüdistama,lähedane,yes,3.0628788565716244e-05
72,olümpia,viima,ennustus,yes,2.779022818869876e-05
73,ennustus,viima,olümpia,yes,6.611769467476014e-06
74,piirileping,sulgema,lehekülg,no,6.202032827746102e-07
75,lehekülg,sulgema,piirileping,no,1.0960337634725284e-09
76,tema,kuulama,jutt,yes,0.0015349096928145936
77,jutt,kuulama,tema,no,2.4030140207347364e-06
78,mina,ootama,jõudmine,yes,0.0014846388489667553
79,jõudmine,ootama,mina,no,9.959569853973065e-06
80,riik,rikkuma,leping,yes,0.00011428445435090742
81,leping,rikkuma,riik,no,4.4538364622253877e-07
82,mina,muutma,samm,yes,2.0868498809877084e-05
83,samm,muutma,mina,yes,5.395341740694339e-05
84,see,panema,Ameerika,yes,1.6768383131980568e-05
85,Ameerika,panema,see,yes,2.456416792347602e-05
86,mudel,pidama,partnerlus,yes,1.109055789959374e-05
87,partnerlus,pidama,mudel,yes,9.781919317826742e-06
88,poiss,haarama,asi,yes,1.6190258475206214e-05
89,asi,haarama,poiss,yes,4.191250714168022e-06
90,tema,meenutama,aeg,yes,0.001607793323001631
91,aeg,meenutama,tema,no,1.8640671249590997e-06
92,sisu,uppuma,loog,no,4.718816690115621e-09
93,loog,uppuma,sisu,no,7.934521797992558e-10
94,leping,muutma,riik,yes,6.0600359556867755e-05
95,riik,muutma,leping,yes,2.6099441607922294e-05
96,töögrupp,kinnitama,see,yes,9.348066770809362e-06
97,see,kinnitama,töögrupp,yes,1.1069362275113698e-06
98,süstimine,tegema,miski,yes,0.0006519828383174948
99,miski,tegema,süstimine,no,1.1332309674308205e-07
100,asi,ajama,mina,yes,0.0001593554336839135
101,mina,ajama,asi,yes,0.0016203908944750238
102,see,näitama,hüve,yes,6.276234428361174e-05
103,hüve,näitama,see,yes,2.112435557179973e-05
104,tema,viima,külaline,yes,0.000788647546870458
105,külaline,viima,tema,yes,9.767045503578323e-05
106,eestlane,saama,mobiiltelefon,yes,0.00020387938883858353
107,mobiiltelefon,saama,eestlane,yes,8.853705327990761e-05
108,tema,tegema,miski,yes,0.005061045990077835
109,miski,tegema,tema,yes,5.378680254448793e-05
110,Savisaar,heitma,pilk,yes,0.00121840325159857
111,pilk,heitma,Savisaar,no,2.0571180158775145e-08
112,tema,rääkima,kõik,yes,0.00022358584003063858
113,kõik,rääkima,tema,yes,3.8715846468039765e-06
114,ettevõtja,tegema,mis,yes,0.00031378391089384585
115,mis,tegema,ettevõtja,yes,0.00044629253136591296
116,tätoveering,ehtima,õlg,yes,0.00022282941563686874
117,õlg,ehtima,tätoveering,no,1.235500604512532e-09
118,tema,andma,intervjuu,yes,0.004750289411848457
119,intervjuu,andma,tema,yes,0.00021721811697211695
120,paavst,viibutama,sõrm,yes,0.003697772068668167
121,sõrm,viibutama,paavst,no,2.465256335970158e-10
122,inimene,otsima,töö,yes,0.00019143802343491023
123,töö,otsima,inimene,yes,3.2704699151858108e-06
124,autosõit,muutma,jalg,yes,3.827725651957495e-05
125,jalg,muutma,autosõit,yes,0.0001411436597395572
126,mina,tegema,tema,yes,0.00046443952942045217
127,tema,tegema,mina,yes,0.0007581050412835878
128,Ühendriik,tunnustama,tema,yes,0.00026373369860208936
129,tema,tunnustama,Ühendriik,yes,0.0001285881698607922
130,pruut,katkestama,see,no,8.745019465153178e-07
131,see,katkestama,pruut,no,3.946507987464726e-09
132,sina,vahetama,mähe,yes,0.012003377724113917
133,mähe,vahetama,sina,no,1.1520656202264034e-06
134,saatmine,tähendama,ahistamine,yes,0.001960949791192392
135,ahistamine,tähendama,saatmine,yes,0.0011547928800242121
136,mats,tundma,ise,yes,9.012712788384971e-05
137,ise,tundma,mats,no,6.83250835814607e-07
138,see,tähendama,stabiilsus,yes,0.0018643644170744473
139,stabiilsus,tähendama,see,yes,0.0011586210670876255
140,tema,panema,küünal,yes,0.0018497282839715292
141,küünal,panema,tema,yes,5.474275318606747e-05
142,tema,jätma,poja,yes,0.0008776932839407519
143,poja,jätma,tema,yes,7.28212407648943e-05
144,väide,lükkama,tulemus,yes,2.528746155884036e-06
145,tulemus,lükkama,väide,yes,0.00011177906931217732
146,arvamus,langema,põhjus,yes,1.265747299981989e-06
147,põhjus,langema,arvamus,yes,8.612650199157599e-07
148,see,katma,kulg,yes,0.003512911704743589
149,kulg,katma,see,no,3.132682832312508e-05
150,tulemus,kinnitama,see,yes,3.4858058390650277e-05
151,see,kinnitama,tulemus,yes,6.40785359415188e-06
152,reklaamikampaania,sõlmima,liitumisleping,yes,2.176117595633864e-05
153,liitumisleping,sõlmima,reklaamikampaania,no,1.1994671560643248e-10
154,voog,ületama,piir,yes,0.0010598384359980602
155,piir,ületama,voog,no,9.138852885628426e-08
156,ülem,andma,käskkiri,yes,0.0025089827396642087
157,käskkiri,andma,ülem,yes,6.0166887252235616e-05
158,mina,tõmbama,tuur,yes,0.00031806011631063067
159,tuur,tõmbama,mina,yes,9.040402267251224e-06
160,see,muutma,Savisaar,yes,0.0004874980135113709
161,Savisaar,muutma,see,yes,4.955080456997905e-06
162,tema,mäletama,see,yes,0.000447596728968735
163,see,mäletama,tema,yes,1.5436514006646436e-05
164,see,seletama,suhe,yes,1.3891372555012232e-05
165,suhe,seletama,see,yes,1.7053824027997534e-07
166,järjekindlus,kandma,vili,yes,0.00019849502496807337
167,vili,kandma,järjekindlus,no,3.6444533038099184e-08
168,muu,mõistma,tema,yes,1.2370409340778852e-05
169,tema,mõistma,muu,yes,7.231321193717745e-05
170,ülem,valmistama,dokument,yes,2.1058876867267284e-05
171,dokument,valmistama,ülem,no,4.35245315940304e-09
172,luup,avaldama,nimekiri,yes,0.0012095832164895264
173,nimekiri,avaldama,luup,yes,6.42641114835194e-05
174,poliitik,leidma,vastuväide,yes,9.969692546646387e-05
175,vastuväide,leidma,poliitik,yes,8.429626291569131e-06
176,arvutus,lõhnama,absurd,no,6.02015214763903e-09
177,absurd,lõhnama,arvutus,no,1.426982090015736e-08
178,vald,kandma,ülalpidamiskulu,yes,0.00047502759190672734
179,ülalpidamiskulu,kandma,vald,yes,7.760330668461617e-05
180,mina,sööma,sült,yes,0.009124249135774734
181,sült,sööma,mina,no,4.9987929447447885e-08
182,aju,jätma,sõna,yes,4.979375089987972e-05
183,sõna,jätma,aju,yes,4.75929048944982e-05
184,mikroob,huvitama,uurija,yes,4.1712495406031126e-06
185,uurija,huvitama,mikroob,no,2.488655736688983e-09
186,mina,suruma,käsi,yes,0.0019695239161926447
187,käsi,suruma,mina,no,2.4322272642983013e-06
188,elu,pakkuma,kogemus,yes,9.104517794277201e-05
189,kogemus,pakkuma,elu,yes,1.0154984068433747e-05
190,see,kompenseerima,asetus,no,8.159868290107463e-08
191,asetus,kompenseerima,see,yes,1.0777967890057456e-05
192,tema,pidurdama,agressiivsus,yes,6.876732333295435e-05
193,agressiivsus,pidurdama,tema,yes,1.4395662339841795e-05
194,Ivo,pidama,sina,yes,3.665851397804444e-05
195,sina,pidama,Ivo,yes,9.493470180856408e-06
196,eestlane,kaotama,hing,yes,5.168014183754356e-05
197,hing,kaotama,eestlane,yes,1.4028564364462808e-06
198,mina,tegema,asi,yes,0.0028106281913708804
199,asi,tegema,mina,yes,7.689458820250935e-05
