,subject,verb,object,hinnang,probability
0,kotkas,kasvatama,poja,yes,2.4663944229959653e-05
1,poja,kasvatama,kotkas,no,1.3299114022861006e-08
2,ema,õpetama,tütar,yes,0.00044999017472520196
3,tütar,õpetama,ema,yes,6.801674331351032e-05
4,suhtumine,imponeerima,aeg,yes,2.6926779162049814e-05
5,aeg,imponeerima,suhtumine,yes,1.4985607937958231e-05
6,mina,ostma,maja,yes,0.0026982713731635646
7,maja,ostma,mina,no,1.6093467169679697e-05
8,välk,tapma,lehm,yes,3.084533582190969e-05
9,lehm,tapma,välk,no,1.139151085224157e-08
10,proua,uurima,ajalugu,yes,0.00023086985031501821
11,ajalugu,uurima,proua,no,1.6469316163854333e-08
12,ponnistus,kandma,vili,yes,0.031745691193500555
13,vili,kandma,ponnistus,no,1.5687269910156624e-05
14,pensionär,andma,toon,yes,0.0006707850164363801
15,toon,andma,pensionär,yes,1.2390729270115e-05
16,tootja,otsima,turg,yes,4.7869310110700986e-05
17,turg,otsima,tootja,yes,4.4748035852225356e-06
18,paljastus,peibutama,ostja,yes,2.589459363215301e-06
19,ostja,peibutama,paljastus,yes,2.8366488548049026e-07
20,areng,saavutama,tase,yes,0.00010704413063352883
21,tase,saavutama,areng,yes,3.819548850298187e-06
22,see,tooma,seiskumine,yes,0.0032189464039029444
23,seiskumine,tooma,see,yes,0.0002809706641201721
24,kabinet,vähendama,norm,yes,6.906435555540342e-06
25,norm,vähendama,kabinet,no,2.1333705582647395e-08
26,firma,teenima,kasum,yes,0.00821288323663737
27,kasum,teenima,firma,no,1.0069586588414722e-06
28,tema,tarvitama,narkootikum,yes,0.021256340117864522
29,narkootikum,tarvitama,tema,no,7.836935355917965e-09
30,tema,ajama,jälg,yes,0.002460237085346099
31,jälg,ajama,tema,yes,5.5687867710170166e-05
32,tapmine,shokeerima,ühiskond,yes,3.102091526824731e-05
33,ühiskond,shokeerima,tapmine,yes,8.03005900976926e-07
34,see,tähendama,hoone,yes,0.0001080458987416
35,hoone,tähendama,see,yes,0.00010321170166834093
36,Vähi,mängima,olukord,yes,4.974716778538287e-06
37,olukord,mängima,Vähi,no,2.5009052447195378e-08
38,kolmveerand,jagama,kirg,yes,1.1089726437253638e-05
39,kirg,jagama,kolmveerand,yes,1.4044921674658979e-05
40,õhtupoolik,ajama,luik,no,4.7442783100389985e-08
41,luik,ajama,õhtupoolik,no,9.237043037145118e-08
42,sina,eelistama,keel,yes,0.00019102825763669753
43,keel,eelistama,sina,yes,3.4032207124045426e-06
44,tema,armastama,kirjandus,yes,0.0002011277456704448
45,kirjandus,armastama,tema,no,1.1212806547766645e-06
46,see,looma,vaimsus,yes,0.00038189467179815446
47,vaimsus,looma,see,yes,5.62425883764664e-06
48,mina,usaldama,pilt,yes,1.7217446541270518e-05
49,pilt,usaldama,mina,yes,1.0856357918829477e-06
50,suundumus,soodustama,teke,yes,0.008005179065147172
51,teke,soodustama,suundumus,no,7.688552153660482e-08
52,revolutsioon,lõpetama,eksistents,yes,0.0003856674162170635
53,eksistents,lõpetama,revolutsioon,no,1.12829463277811e-06
54,prussakas,moodustama,meeskond,yes,6.029052999758296e-05
55,meeskond,moodustama,prussakas,no,3.5450438548697326e-08
56,väide,jääma,kõrv,yes,8.555644762932014e-05
57,kõrv,jääma,väide,yes,3.4637044359089414e-06
58,sina,hindama,kes,yes,8.080310671037184e-05
59,kes,hindama,sina,yes,5.1220721852635975e-05
60,loomus,ajama,noormees,yes,4.22621237006467e-05
61,noormees,ajama,loomus,no,5.207894154615501e-08
62,seik,siduma,järeltulija,yes,8.186229680776728e-06
63,järeltulija,siduma,seik,yes,1.9175577028247741e-07
64,see,tegema,tema,yes,0.00021246264893969206
65,tema,tegema,see,yes,0.004059647094035152
66,tema,tegema,peavalu,yes,0.0038229093077325155
67,peavalu,tegema,tema,yes,0.0005264405835839834
68,õnnetus,paljastama,koha,no,4.722024806473369e-08
69,koha,paljastama,õnnetus,no,8.838071874929581e-10
70,katse,andma,tulemus,yes,0.0011474897435544433
71,tulemus,andma,katse,yes,4.064382892358627e-05
72,Bill,esindama,pool,yes,1.3855982955503405e-05
73,pool,esindama,Bill,no,9.480538943599094e-08
74,mina,mäletama,see,yes,0.0013644051384185357
75,see,mäletama,mina,yes,2.3088699713384564e-05
76,raamatukogu,külastama,elanik,yes,5.9668679925625126e-05
77,elanik,külastama,raamatukogu,yes,0.0002486791752925315
78,mina,nautima,olemine,yes,0.00325927897910407
79,olemine,nautima,mina,no,9.746571621955737e-08
80,tema,tegema,järeldus,yes,0.02744412379113679
81,järeldus,tegema,tema,yes,0.0004915523098332706
82,koristaja,pesema,põrand,yes,0.0025248720816728547
83,põrand,pesema,koristaja,no,4.812108051480553e-08
84,Savisaar,esindama,valija,yes,9.393395124097356e-05
85,valija,esindama,Savisaar,no,3.376384315438322e-10
86,soomlane,panema,argument,yes,2.2193014947365498e-05
87,argument,panema,soomlane,yes,4.4507600482283146e-05
88,asula,esindama,aste,no,8.921278632347241e-10
89,aste,esindama,asula,yes,3.7148051800520757e-06
90,mina,eelistama,klassik,yes,3.3618285955467693e-06
91,klassik,eelistama,mina,yes,5.992056460473879e-07
92,akt,muutma,ühendus,yes,2.909529156539714e-05
93,ühendus,muutma,akt,yes,4.271562575061832e-05
94,kantsler,vastutama,eelarve,yes,3.24727993338004e-06
95,eelarve,vastutama,kantsler,yes,6.682248083177581e-08
96,filminäitleja,pidama,see,yes,0.0001759425151308546
97,see,pidama,filminäitleja,no,1.0491120262520235e-07
98,mina,lõpetama,päev,yes,0.00048923614481391
99,päev,lõpetama,mina,no,1.4960045549199723e-07
100,sina,tähistama,see,yes,1.3016498346710085e-05
101,see,tähistama,sina,no,7.304291141870524e-10
102,otsus,vallandama,üks,yes,4.31572001091958e-05
103,üks,vallandama,otsus,yes,6.775791819076855e-07
104,moment,leidma,lahendus,yes,0.0012245666679071771
105,lahendus,leidma,moment,yes,0.00014185398497674743
106,mina,ütlema,seesama,yes,0.0007422857635373327
107,seesama,ütlema,mina,no,6.475821311151926e-07
108,vahistamine,vähendama,ind,yes,0.0004474599359452995
109,ind,vähendama,vahistamine,no,3.071000707560793e-09
110,abiellumine,tekitama,pahameel,yes,0.009689794912849773
111,pahameel,tekitama,abiellumine,no,1.9755731462114657e-07
112,kahanemine,sundima,mina,yes,0.0020255800757978176
113,mina,sundima,kahanemine,no,2.710803490219325e-06
