,subject,verb,object,hinnang,probability
0,pisiasi,iseloomustama,kestvus,yes,1.0473732614547459e-05
1,kestvus,iseloomustama,pisiasi,no,6.271503972717425e-08
2,Marko,tundma,hirm,yes,0.0005593288782852738
3,hirm,tundma,Marko,no,2.0254202508914434e-06
4,päev,nägema,milline,yes,0.0004567462492714872
5,milline,nägema,päev,yes,0.0005862997844003454
6,mees,saama,katsumus,yes,0.0005136640158937622
7,katsumus,saama,mees,yes,0.00022702023754604298
8,õli,valama,tuli,yes,0.00022824680798413805
9,tuli,valama,õli,yes,0.0022559475493589176
10,suhe,paiskama,kriis,no,7.388963817105658e-07
11,kriis,paiskama,suhe,no,4.0997184797195505e-07
12,tema,tekitama,kahi,yes,0.002167607279637762
13,kahi,tekitama,tema,no,1.9552592484531006e-05
14,sõbranna,õpetama,sõna,yes,5.9041862154754265e-05
15,sõna,õpetama,sõbranna,yes,2.478038524091338e-05
16,omanik,andma,otsustusõigus,yes,0.0010887351561751687
17,otsustusõigus,andma,omanik,yes,2.750836257823158e-05
18,abikaasa,panema,silm,yes,5.209020674468527e-05
19,silm,panema,abikaasa,yes,5.425761851488781e-06
20,mina,rääkima,mõlema,yes,0.00015668661047502167
21,mõlema,rääkima,mina,yes,2.6590131886263574e-06
22,mis,jääma,muu,yes,8.823698577747838e-05
23,muu,jääma,mis,yes,0.00032293580914601283
24,lemmik,uudistama,tulija,yes,4.62351704916928e-07
25,tulija,uudistama,lemmik,yes,6.8135893241354746e-06
26,lennupilet,maksma,kroon,yes,0.045021585133711524
27,kroon,maksma,lennupilet,yes,0.0012310860219713262
28,kasvataja,kompenseerima,puudujääk,yes,0.00014473482435549648
29,puudujääk,kompenseerima,kasvataja,no,2.683233326410209e-07
30,keskkool,võtma,mall,yes,0.005363880576683837
31,mall,võtma,keskkool,no,1.4337475125555922e-05
32,keegi,saama,kiri,yes,0.001152784414776104
33,kiri,saama,keegi,yes,3.483874499682084e-05
34,igaüks,märkama,reklaam,yes,1.0272819273878528e-05
35,reklaam,märkama,igaüks,yes,3.9381723508475744e-07
36,sina,kinkima,mis,yes,0.0001416132509110175
37,mis,kinkima,sina,yes,2.961687362271146e-06
38,resolutsioon,kohustama,tema,yes,0.0005053124349606325
39,tema,kohustama,resolutsioon,no,5.464980345708295e-09
40,fänn,kandma,loosung,yes,0.0005845081122236247
41,loosung,kandma,fänn,no,4.483093015317629e-09
42,Alar,andma,arm,yes,0.0007908531321008803
43,arm,andma,Alar,yes,0.0002048987736181684
44,miski,õigustama,vägivald,yes,0.00044376779525763857
45,vägivald,õigustama,miski,yes,1.0598049400836607e-05
46,hoiatus,kajastama,seisukoht,yes,4.711261083142312e-05
47,seisukoht,kajastama,hoiatus,yes,8.843509446447637e-07
48,muutus,näitama,mõju,yes,2.327558493979229e-05
49,mõju,näitama,muutus,yes,4.224063716394415e-05
50,eestlane,tegema,äri,yes,0.0014303326976212423
51,äri,tegema,eestlane,yes,9.641095041328291e-05
