,subject,verb,object,hinnang,probability
0,Hodorkovski,panema,alune,yes,0.00027505700276283694
1,alune,panema,Hodorkovski,yes,9.981460896185967e-05
2,tema,veeretama,pall,yes,0.004143985865938418
3,pall,veeretama,tema,no,2.581765250264293e-06
4,teema,soodustama,mulje,no,8.404385538122317e-09
5,mulje,soodustama,teema,no,7.227875590953528e-12
6,jumal,hoidma,mina,yes,0.0015871885730484943
7,mina,hoidma,jumal,yes,0.00013062137124647183
8,president,kiitma,pommitamine,yes,1.4885818599972395e-05
9,pommitamine,kiitma,president,yes,1.7612445120743447e-07
10,mina,laskma,hind,yes,0.00032237987993140847
11,hind,laskma,mina,yes,2.1402836773924117e-05
12,pääsemine,ületama,ootus,yes,0.00018157680131319356
13,ootus,ületama,pääsemine,no,2.5060627557839715e-08
14,ajalugu,pakkuma,näide,yes,0.00011391752911721345
15,näide,pakkuma,ajalugu,yes,7.2012800339006195e-06
16,proua,juhatama,külaline,yes,0.000544060366509294
17,külaline,juhatama,proua,no,4.550747106345238e-09
18,sina,tegema,mis,yes,0.002841863029830161
19,mis,tegema,sina,yes,0.00037185132298649635
20,üks,segama,teine,yes,8.89616845926854e-05
21,teine,segama,üks,yes,1.934244018014742e-06
22,mina,andma,laen,yes,0.0011693571862133481
23,laen,andma,mina,yes,1.4538094918364235e-05
24,hotell,jätma,mulje,yes,0.0020484052483637025
25,mulje,jätma,hotell,yes,4.3456012574660055e-05
26,areng,erutama,tema,yes,0.0011949763186683473
27,tema,erutama,areng,no,2.605676251212644e-08
28,legend,mahutama,kõik,yes,3.852363494875103e-05
29,kõik,mahutama,legend,yes,1.2574445799861571e-05
30,elukaaslane,tooma,beebi,yes,0.000828433060778451
31,beebi,tooma,elukaaslane,no,5.871814900934542e-06
32,inimsuhe,huvitama,kes,yes,0.008086358503146956
33,kes,huvitama,inimsuhe,no,6.255330076600282e-08
34,välisminister,jagama,selgitus,yes,0.0004907018116189869
35,selgitus,jagama,välisminister,no,1.5478885825391353e-09
36,taasiseseisvumine,tegema,tulirelv,yes,6.416711594399171e-05
37,tulirelv,tegema,taasiseseisvumine,no,1.0169888142238373e-07
38,see,kergendama,süda,yes,0.00044750947288746157
39,süda,kergendama,see,no,1.924679922896619e-09
40,ema,hoidma,mina,yes,0.00015293319033435313
41,mina,hoidma,ema,yes,0.0003053171501132673
42,buldooser,lükkama,maja,yes,2.0844143303399287e-05
43,maja,lükkama,buldooser,no,2.8472853162981344e-08
44,peatoimetaja,pidama,tuntus,yes,4.6736594647229204e-05
45,tuntus,pidama,peatoimetaja,no,9.701437044536806e-08
46,lehekülg,palkama,turvamees,yes,8.126282248324254e-06
47,turvamees,palkama,lehekülg,no,8.173444468550722e-10
48,inimene,nägema,unenägu,yes,0.002582753359076405
49,unenägu,nägema,inimene,yes,7.718187097237225e-05
50,see,pidama,ise,yes,8.800196464818018e-05
51,ise,pidama,see,yes,2.630399541945693e-05
52,tema,võtma,termin,yes,0.0013639661075856447
53,termin,võtma,tema,yes,8.928812940476895e-05
54,mina,tajuma,puue,yes,1.048508512305222e-06
55,puue,tajuma,mina,yes,1.1757923591399984e-06
56,sina,saama,aru,yes,0.01840571531919207
57,aru,saama,sina,no,9.488532477839043e-05
58,sina,lülitama,ise,yes,0.0007132294052345134
59,ise,lülitama,sina,no,1.5701882500953596e-09
60,komisjon,teadma,miski,yes,1.9744514880995142e-05
61,miski,teadma,komisjon,yes,6.127657982073862e-06
62,keegi,ütlema,miski,yes,0.0005199028466810621
63,miski,ütlema,keegi,no,8.991146158684e-07
64,tema,looma,ettevõte,yes,0.00045921860173940164
65,ettevõte,looma,tema,yes,1.1411893797537206e-05
66,kolmandik,leidma,töö,yes,0.0002137549827798648
67,töö,leidma,kolmandik,no,2.769769234234429e-07
68,politsei,kõrvaldama,kassett,no,3.650181135826781e-08
69,kassett,kõrvaldama,politsei,no,9.226814048031786e-10
70,mina,tegema,plaan,yes,0.0032000792639871618
71,plaan,tegema,mina,yes,9.080802659192563e-05
72,pilv,võtma,ühendus,yes,0.00024272575946538113
73,ühendus,võtma,pilv,yes,5.052117184618526e-05
74,peategelane,lahendama,küsimus,yes,1.7314065317831758e-05
75,küsimus,lahendama,peategelane,no,3.2175310851296626e-09
76,mina,otsima,keegi,yes,0.0001715419431933857
77,keegi,otsima,mina,yes,1.4489525111178047e-05
78,sina,mõtlema,toit,yes,0.0001454357930683608
79,toit,mõtlema,sina,yes,2.3819765131909636e-06
80,soomlane,haistma,shanss,yes,1.7802148144956267e-05
81,shanss,haistma,soomlane,no,1.5973521334313688e-09
82,mis,pakkuma,mõtlemisaine,yes,0.017519957996930288
83,mõtlemisaine,pakkuma,mis,no,3.743731335613933e-05
84,puudumine,pidurdama,areng,yes,0.006133130388442112
85,areng,pidurdama,puudumine,no,1.499713899334583e-08
86,tema,kirjutama,raamat,yes,0.002393658751666583
87,raamat,kirjutama,tema,no,5.655432515694131e-06
88,keegi,valima,vanem,yes,7.846148570852038e-05
89,vanem,valima,keegi,yes,9.675860501682453e-05
90,mina,patrama,mis,yes,0.010930291529681372
91,mis,patrama,mina,no,7.269938657050143e-08
92,asetäitja,informeerima,delegaat,no,1.9645901061084944e-07
93,delegaat,informeerima,asetäitja,no,2.455592321112167e-07
94,instruktor,juhtima,pataljon,yes,9.419494164591946e-06
95,pataljon,juhtima,instruktor,no,8.821873728580559e-10
96,valimine,tooma,reaktsioon,yes,0.0003784248219562021
97,reaktsioon,tooma,valimine,yes,5.1751800584330125e-05
98,Hiina,säilitama,Hongkong,no,8.084897473855809e-07
99,Hongkong,säilitama,Hiina,no,5.993591466031816e-08
100,Mati,armastama,publik,yes,1.0573923907274949e-05
101,publik,armastama,Mati,yes,0.00014070497277603885
102,pianist,ostma,maastur,yes,9.484805849616416e-06
103,maastur,ostma,pianist,no,2.056077077874969e-09
104,tema,saatma,telegramm,yes,0.008528243832612402
105,telegramm,saatma,tema,no,4.063696564166154e-06
106,peremees,saama,käpp,yes,0.0004736103576203959
107,käpp,saama,peremees,yes,0.0016834215558605037
108,saarlane,varjama,ambitsioon,yes,3.838883070227236e-06
109,ambitsioon,varjama,saarlane,no,1.2452666716872227e-09
110,linnapea,saatma,määrus,yes,1.9410443808740387e-05
111,määrus,saatma,linnapea,yes,8.977380801021935e-06
112,tema,määrama,käik,yes,4.5241072638311296e-05
113,käik,määrama,tema,yes,1.2669842202346329e-05
114,ajakirjandus,jahtima,arvamus,yes,3.440407113582578e-06
115,arvamus,jahtima,ajakirjandus,no,3.367884912283407e-09
116,mina,võtma,kroon,yes,0.00036342256226264813
117,kroon,võtma,mina,yes,6.629390769527163e-06
118,mees,lootma,otsus,yes,2.2992305960886478e-05
119,otsus,lootma,mees,no,1.2249405959584187e-07
120,filiaal,tooma,tulu,yes,0.0002429411173928252
121,tulu,tooma,filiaal,yes,1.433972853229819e-05
122,suvi,veetma,Hans,no,2.647649717543579e-07
123,Hans,veetma,suvi,yes,0.00027392141619185
124,aasta,muserdama,moraal,no,1.2651470560395483e-07
125,moraal,muserdama,aasta,yes,2.2323559268111415e-05
126,asjaolu,andma,tunnistus,yes,0.004447379656886281
127,tunnistus,andma,asjaolu,yes,4.619649342693669e-05
128,ettevõtja,tundma,huvi,yes,0.0015254253974193454
129,huvi,tundma,ettevõtja,no,1.2922764085679772e-05
130,kes,teadma,see,yes,0.00033825587992017696
131,see,teadma,kes,yes,5.916514453075984e-05
132,tema,treenima,ise,yes,0.0021409159508593467
133,ise,treenima,tema,no,5.041763312625789e-08
134,tema,kinnitama,valmisolek,yes,0.002282809559123211
135,valmisolek,kinnitama,tema,no,2.063520602321667e-07
136,neiu,tõmbama,joon,yes,0.0032614420546198666
137,joon,tõmbama,neiu,no,1.5122067088620885e-05
138,kapten,laskma,saatus,yes,1.8546701920151884e-06
139,saatus,laskma,kapten,yes,1.716790331443022e-05
140,kell,aeglustama,käik,yes,0.00023168381413180589
141,käik,aeglustama,kell,no,3.1584099306835814e-08
142,sina,saama,käsi,yes,0.0005281171805710682
143,käsi,saama,sina,yes,2.365767903696618e-05
144,lähedane,tundma,see,yes,2.8355573654225246e-05
145,see,tundma,lähedane,yes,2.0594706833106473e-05
146,tema,kasvatama,tütar,yes,0.0017557056144078928
147,tütar,kasvatama,tema,yes,2.272928610424723e-05
148,ministeerium,kulutama,kroon,yes,0.0006992489388683375
149,kroon,kulutama,ministeerium,yes,7.628995994535937e-06
150,lähenemisviis,seadma,riik,yes,3.1104386536643816e-06
151,riik,seadma,lähenemisviis,yes,7.736762105804509e-08
152,surve,tooma,vahetumine,yes,0.0008271339805660567
153,vahetumine,tooma,surve,yes,0.00046088687223696796
154,siseminister,premeerima,tema,no,1.5294657178452065e-07
155,tema,premeerima,siseminister,yes,0.00027358537325734985
156,Ühendriik,otsima,võimalus,yes,4.141935148327525e-05
157,võimalus,otsima,Ühendriik,no,5.3483583176421733e-11
158,Toomas,suutma,see,yes,9.255376095167608e-05
159,see,suutma,Toomas,no,8.780645424742775e-08
160,Konstantin,asutama,talitus,yes,8.196438787016713e-06
161,talitus,asutama,Konstantin,yes,1.4096917634841587e-05
162,tema,võtma,kassett,yes,0.0015986312970200172
163,kassett,võtma,tema,yes,5.389113139211048e-05
164,tema,tooma,suitsetamine,yes,5.372715390241731e-05
165,suitsetamine,tooma,tema,yes,7.08897873629265e-05
166,administratsioon,saama,kontroll,yes,7.17411122974153e-05
167,kontroll,saama,administratsioon,no,4.0634982764636125e-07
168,mina,eelistama,nali,yes,1.379443235717222e-05
169,nali,eelistama,mina,yes,3.3994938804446973e-07
170,leid,andma,lootus,yes,0.0022569152193017304
171,lootus,andma,leid,yes,0.00012475305226450654
172,üldeeskiri,keelama,müük,yes,0.0032257453048816134
173,müük,keelama,üldeeskiri,no,3.974649888878031e-12
174,koduloom,arvama,mis,yes,5.7326153319842165e-06
175,mis,arvama,koduloom,yes,2.1826529085773687e-06
176,advokaadibüroo,tundma,huvi,yes,3.788987138152359e-05
177,huvi,tundma,advokaadibüroo,no,6.719723144131937e-08
178,Tõnis,süütama,sigaret,yes,4.5220419414705485e-05
179,sigaret,süütama,Tõnis,no,2.3128149661007206e-08
180,Mehhiko,saama,laen,yes,0.0008968759980227031
181,laen,saama,Mehhiko,no,4.940529714987785e-06
182,sina,ehitama,maja,yes,0.0026091091827087584
183,maja,ehitama,sina,no,1.090532221489853e-05
184,värv,pakkuma,inspiratsioon,yes,0.00021705366589636697
185,inspiratsioon,pakkuma,värv,yes,6.354550996196596e-06
186,tööandja,erastama,korter,yes,0.0009093421521688748
187,korter,erastama,tööandja,no,8.712182597262852e-09
188,mees,pakkuma,kompenseerimine,yes,7.36045808691807e-05
189,kompenseerimine,pakkuma,mees,yes,2.1374080193433567e-06
190,komisjon,kavandama,likvideerimine,yes,0.00013199276542711966
191,likvideerimine,kavandama,komisjon,no,4.385938662646446e-09
192,Andres,kasutama,skeem,yes,0.0002151701752928215
193,skeem,kasutama,Andres,no,9.74349652813122e-07
194,prokuratuur,tühistama,määrus,yes,9.52001702640833e-05
195,määrus,tühistama,prokuratuur,no,7.397659861268614e-09
196,äike,leidma,ohver,yes,3.599273112826089e-05
197,ohver,leidma,äike,no,1.0731040148768545e-07
198,inimene,armastama,kunst,yes,7.998586975255935e-05
199,kunst,armastama,inimene,yes,1.0749889736239221e-06
