,sentence,adjective,noun,
0,"Ent ka Keskülast on piisavalt kirjeldusi , mida lugeda , kui tahta ***** arvustust teha .",asjatundlik,arvustus,Yes
1,"Ent ka Keskülast on piisavalt kirjeldusi , mida lugeda , kui tahta ***** arvustust teha .",meisterlik,arvustus,Yes
2,"Meistrite Liigas on karmid nõudmised - staadionil peavad olema ***** intervjuu- ja korralikud VIP-ruumid , teleboksid , mitusada kohta Meistrite Liiga ametlikele sponsoritele , jne .",suur,intervjuu,Yes
3,"Meistrite Liigas on karmid nõudmised - staadionil peavad olema ***** intervjuu- ja korralikud VIP-ruumid , teleboksid , mitusada kohta Meistrite Liiga ametlikele sponsoritele , jne .",sügav,intervjuu,No
4,"Soojamajanduse korrastamiseks mõeldud Rootsi riikliku , NUTEK-i nimelise fondi 1,67 miljoni Eesti kroonine laen jõudis Vändrasse 1994. aasta lõpul ja paigutati eraldi arvele .",riiklik,fond,Yes
5,"Soojamajanduse korrastamiseks mõeldud Rootsi riikliku , NUTEK-i nimelise fondi 1,67 miljoni Eesti kroonine laen jõudis Vändrasse 1994. aasta lõpul ja paigutati eraldi arvele .",avalik,fond,Yes
6,"” Oma päris esimese ***** elamuse kohta aga ütleb Mark : “ Mis ma siin keerutan , olin kuuene , kui Viljandis Terase tänaval see Vello Orumets mulle ikka väga meeldis .",erootiline,elamus,Yes
7,"” Oma päris esimese ***** elamuse kohta aga ütleb Mark : “ Mis ma siin keerutan , olin kuuene , kui Viljandis Terase tänaval see Vello Orumets mulle ikka väga meeldis .",seksuaalne,elamus,Yes
8,"Meie sõnum on , et ka tänastes tingimustes on võimalik saavutada 3 - 4 korda efektiivsemalt ***** mudel .",toimiv,mudel,Yes
9,"Meie sõnum on , et ka tänastes tingimustes on võimalik saavutada 3 - 4 korda efektiivsemalt ***** mudel .",interaktiivne,mudel,No
10,"Kuid samas tuleb arvestada ebakindla , ***** reegleid otsiva maailmamajandusega ja küsida : kas USA väikelinna mahtu rahvaarvuga riigil on tulevikku EL-ist väljaspool ?",uus,reegel,Yes
11,"Kuid samas tuleb arvestada ebakindla , ***** reegleid otsiva maailmamajandusega ja küsida : kas USA väikelinna mahtu rahvaarvuga riigil on tulevikku EL-ist väljaspool ?",originaalne,reegel,No
12,"“ Sellest korterist on kõik nõukogudeaegne kadunud , lõhkusime vaheseinad ja taastasime ***** revolutsioonieelse planeeringu .",tüüpiline,planeering,Yes
13,"“ Sellest korterist on kõik nõukogudeaegne kadunud , lõhkusime vaheseinad ja taastasime ***** revolutsioonieelse planeeringu .",iseloomulik,planeering,No
14,Teda on seni peetud oma ***** tööandjale väga ustavaks .,kunagine,tööandja,Yes
