,sentence,adjective,noun,
0,Suurte rahvakogunemiste aegu tuleb neil taluda ***** klientide nurinat “ tummade ” telefonide pärast .,närviline,klient,Yes
1,Suurte rahvakogunemiste aegu tuleb neil taluda ***** klientide nurinat “ tummade ” telefonide pärast .,konfliktne,klient,Yes
2,"Kui veel 1993. aasta oktoobris päästis Jeltsini toores jõud ja kindralite ustavus , siis aastatagustel presidendivalimistel tõi ***** poliitikule võidu suurkapitali toetus .",hallipäine,poliitik,Yes
3,"Kui veel 1993. aasta oktoobris päästis Jeltsini toores jõud ja kindralite ustavus , siis aastatagustel presidendivalimistel tõi ***** poliitikule võidu suurkapitali toetus .",vana,poliitik,Yes
4,"Pruudid ja peigmehed polnud kooliajal nii ***** prioriteet , olid nagu muud huvid .",suur,prioriteet,Yes
5,"Pruudid ja peigmehed polnud kooliajal nii ***** prioriteet , olid nagu muud huvid .",sügav,prioriteet,No
6,"Selle ***** põhjuseks oli linnavalitsuse halb suhe volikoguga , võimetus lahendada soojamajanduse probleeme ning selge programmi puudumine .",ametlik,põhjus,Yes
7,"Selle ***** põhjuseks oli linnavalitsuse halb suhe volikoguga , võimetus lahendada soojamajanduse probleeme ning selge programmi puudumine .",bürokraatlik,põhjus,No
8,"“ Nad hukkusid naerusui , ” jätkus julgust ja ülbust öelda ***** kaitseministril Pavel Gratshovil , mehel , kellel lasub vastutus riigi relvajõudude lagunemise pärast .",toonane,kaitseminister,Yes
9,"“ Nad hukkusid naerusui , ” jätkus julgust ja ülbust öelda ***** kaitseministril Pavel Gratshovil , mehel , kellel lasub vastutus riigi relvajõudude lagunemise pärast .",omaaegne,kaitseminister,Yes
10,"” Vesta Reest Ameerikas populaarne tüdrukuteromaan , Meg Caboti “ Printsessi päevikud ” tutvustab laiale ilmale supermodell CARMEN KASSi sootuks ***** valguses .",uus,valgus,Yes
11,"” Vesta Reest Ameerikas populaarne tüdrukuteromaan , Meg Caboti “ Printsessi päevikud ” tutvustab laiale ilmale supermodell CARMEN KASSi sootuks ***** valguses .",originaalne,valgus,No
12,"Laupäeva õhtul , mil poiss kadus , lootis Carli isa , et laps leitakse kohalike jõududega kiiresti üles ning ema hingerahu pole vaja ***** uudisega raputada .",ränk,uudis,Yes
13,"Laupäeva õhtul , mil poiss kadus , lootis Carli isa , et laps leitakse kohalike jõududega kiiresti üles ning ema hingerahu pole vaja ***** uudisega raputada .",karm,uudis,Yes
14,Loome seal ***** atmosfääri .,lahe,atmosfäär,Yes
