,sentence,adjective,noun,
0,"See algab elementaarsetest eluks ***** tingimustest , nagu riided , toit ja peavari , ning lõpeb luksusesemetega , mille järele vajadus on õpitud või tekitatud .",tarvilik,tingimus,yes
1,"See algab elementaarsetest eluks ***** tingimustest , nagu riided , toit ja peavari , ning lõpeb luksusesemetega , mille järele vajadus on õpitud või tekitatud .",hädavajalik,tingimus,Yes
2,"Olen kasvanud üles Tallinnas Kevade tänavas , seal oli ***** aed , kus sai kõvasti sporti teha .",suur,aed,Yes
3,"Olen kasvanud üles Tallinnas Kevade tänavas , seal oli ***** aed , kus sai kõvasti sporti teha .",kõrge,aed,No
4,"Rivaalitsemisest hoolimata pole klannidel mingit ***** erinevust ning kui nende huvid ka aeg-ajalt põrkuvad , on tegemist “ pada sõimab katelt ” situatsiooniga .",maailmavaateline,erinevus,Yes
5,"Rivaalitsemisest hoolimata pole klannidel mingit ***** erinevust ning kui nende huvid ka aeg-ajalt põrkuvad , on tegemist “ pada sõimab katelt ” situatsiooniga .",filosoofiline,erinevus,Yes
6,"Muuseumi väravas astub tulijaile väärikalt vastu ***** , ent padjataoliselt priske kass .",väike,kass,Yes
7,"Muuseumi väravas astub tulijaile väärikalt vastu ***** , ent padjataoliselt priske kass .",noor,kass,Yes
8,"Ei oska öelda , kas “ süüdi ” on ***** aastatuhat , kuuseisud või on pereloomine tõepoolest jälle au sisse tõusnud .",uus,aastatuhat,Yes
9,"Ei oska öelda , kas “ süüdi ” on ***** aastatuhat , kuuseisud või on pereloomine tõepoolest jälle au sisse tõusnud .",originaalne,aastatuhat,No
10,"USA-s tehti juba 1930. aastatel katsetega kindlaks , et inimese pea soojendamisel tema poolt ***** aja kulg aeglustub .",tajutav,aeg,Yes
11,"USA-s tehti juba 1930. aastatel katsetega kindlaks , et inimese pea soojendamisel tema poolt ***** aja kulg aeglustub .",endastmõistetav,aeg,No
12,"Soomlasest fotograaf tõstab ***** vagude vahel poolesajakiloseid viinamarjakaste ja leiab teise päeva õhtuks , et on küll saanud piisava füüsilise koormuse , kuid spetsialistina liiga kallis sellist tööd tegema .",niiske,vagu,Yes
13,"Soomlasest fotograaf tõstab ***** vagude vahel poolesajakiloseid viinamarjakaste ja leiab teise päeva õhtuks , et on küll saanud piisava füüsilise koormuse , kuid spetsialistina liiga kallis sellist tööd tegema .",kleepuv,vagu,No
14,"Cameron naudib Hollywoodi staari seisust , võib küsida stuudiobossidelt 10 miljoni dollari suurust honorari ning saab tööpakkumisi oma ala ***** tippudelt .",absoluutne,tipp,Yes
15,"Cameron naudib Hollywoodi staari seisust , võib küsida stuudiobossidelt 10 miljoni dollari suurust honorari ning saab tööpakkumisi oma ala ***** tippudelt .",lõputu,tipp,No
16,"Kuigi ***** infrastruktuuri ja kaasaegsete mugavustega on kohati isegi liialdatud , näiteks maantee kolme hirmkalli tunneliga väikesaarel , kus kokku vaid kümmekond autot ja praamiühendus puudub , tundub , et aeg on siin kohati seisma jäänud .",moodne,infrastruktuur,Yes
17,"Kuigi ***** infrastruktuuri ja kaasaegsete mugavustega on kohati isegi liialdatud , näiteks maantee kolme hirmkalli tunneliga väikesaarel , kus kokku vaid kümmekond autot ja praamiühendus puudub , tundub , et aeg on siin kohati seisma jäänud .",kaasaegne,infrastruktuur,Yes
18,"” Fertilitase ***** arstidega harjunud Lisa aga nõuab ööselgi , et temaga suheldaks - teda sülle võetaks ja juttu aetaks .",suhtlev,arst,Yes
19,"” Fertilitase ***** arstidega harjunud Lisa aga nõuab ööselgi , et temaga suheldaks - teda sülle võetaks ja juttu aetaks .",seltskondlik,arst,Yes
20,"Kahjuks pole kõik eestlased veel teadvustanud , et ***** ja mugaval autosõidul on omad varjuküljed .",mõnus,autosõit,Yes
21,"Kahjuks pole kõik eestlased veel teadvustanud , et ***** ja mugaval autosõidul on omad varjuküljed .",meeldiv,autosõit,Yes
22,"Siin elavad tema lapsed Max ( 12 ) , Madeleine ( 10 ) ja Marina ( 7 ) , kaks lapsehoidjat ( ***** ja praegune ) , majahoidja , assistent ning abikaasa Ed Bye .",endine,lapsehoidja,Yes
23,"Siin elavad tema lapsed Max ( 12 ) , Madeleine ( 10 ) ja Marina ( 7 ) , kaks lapsehoidjat ( ***** ja praegune ) , majahoidja , assistent ning abikaasa Ed Bye .",omaaegne,lapsehoidja,No
24,Napib nii ***** ettevõtjaid kui ka järvemõnu nautivaid turiste .,rahakas,ettevõtja,Yes
25,Napib nii ***** ettevõtjaid kui ka järvemõnu nautivaid turiste .,rikas,ettevõtja,Yes
26,"Analüütikud on rõhutanud , et Ukraina on ***** näide poolel teel külmutatud majandusreformidest .",markantne,näide,Yes
27,"Analüütikud on rõhutanud , et Ukraina on ***** näide poolel teel külmutatud majandusreformidest .",huvitav,näide,Yes
28,Mironova on relvakulleri jaoks ***** taustaga .,tüüpiline,taust,Yes
29,Mironova on relvakulleri jaoks ***** taustaga .,iseloomulik,taust,No
